AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
LYS,6,0.0088,55.3,-177.1,-68.5,-72.5,15.01,7.51,14.84,17.9
LYS,1,0.0015,46.0,-70.1,108.9,63.8,0.0,0.0,0.0,0.0
LYS,2,0.0029,-166.9,73.5,78.3,77.5,16.34,17.51,18.48,6.42
LYS,4,0.0059,-161.4,67.2,88.4,180.0,10.36,10.67,12.28,10.04
LYS,1,0.0015,-174.1,115.5,110.3,-27.8,0.0,0.0,0.0,0.0
LYS,7,0.0103,-177.5,64.6,171.5,55.3,5.96,12.47,11.02,6.77
LYS,20,0.0294,-175.4,67.5,-178.1,-179.2,11.88,7.69,10.55,7.73
LYS,9,0.0132,-179.5,67.6,169.2,-70.9,11.5,14.93,20.66,13.83
LYS,1,0.0015,-175.8,59.7,-94.6,158.3,0.0,0.0,0.0,0.0
LYS,1,0.0015,179.1,118.3,-63.9,-55.6,0.0,0.0,0.0,0.0
LYS,7,0.0103,-177.8,161.7,81.6,67.9,8.88,8.41,17.77,4.69
LYS,19,0.0279,-176.5,175.8,63.5,171.4,11.47,13.49,13.56,17.62
LYS,1,0.0015,-178.2,153.1,60.1,-91.0,0.0,0.0,0.0,0.0
LYS,32,0.0471,-175.9,176.8,174.3,62.4,6.29,8.44,10.82,10.26
LYS,92,0.1353,-175.6,177.5,-179.7,179.1,7.6,8.65,8.1,8.9
LYS,15,0.0221,-178.2,172.4,-177.7,-69.6,10.23,7.62,11.02,14.75
LYS,29,0.0426,-172.9,179.5,-69.3,-174.8,8.74,10.6,10.4,12.44
LYS,5,0.0074,-179.1,-172.1,-64.4,-68.7,8.12,12.61,8.39,9.33
LYS,3,0.0044,-139.2,-84.6,-174.2,58.1,19.44,15.02,11.73,9.65
LYS,6,0.0088,-155.0,-84.9,-178.9,-179.7,9.31,19.69,14.18,15.2
LYS,1,0.0015,154.8,-97.1,-163.0,-52.3,0.0,0.0,0.0,0.0
LYS,1,0.0015,-124.7,-114.0,-42.2,-161.1,0.0,0.0,0.0,0.0
LYS,1,0.0015,-166.2,-97.1,-80.9,-56.6,0.0,0.0,0.0,0.0
LYS,2,0.0029,-101.0,104.1,77.8,85.8,1.73,5.96,8.13,2.61
LYS,1,0.0015,-84.1,119.5,59.3,-166.2,0.0,0.0,0.0,0.0
LYS,4,0.0059,-90.8,61.6,-173.1,59.5,10.88,8.06,13.17,10.68
LYS,7,0.0103,-80.8,67.6,180.0,-179.6,8.41,13.22,4.68,6.81
LYS,4,0.0059,-91.9,66.9,-174.4,-58.6,8.25,10.48,5.96,4.99
LYS,1,0.0015,-79.8,105.4,-80.8,87.3,0.0,0.0,0.0,0.0
LYS,1,0.0015,-101.0,98.7,-74.8,175.7,0.0,0.0,0.0,0.0
LYS,13,0.0191,-68.0,-179.4,80.5,60.6,9.83,15.44,14.39,12.07
LYS,28,0.0412,-69.9,170.5,66.9,178.2,10.78,15.98,10.25,7.85
LYS,1,0.0015,-82.2,135.9,71.4,-77.4,0.0,0.0,0.0,0.0
LYS,42,0.0618,-67.1,-170.3,-179.9,63.8,8.04,14.07,14.57,12.38
LYS,126,0.1853,-68.4,-178.7,-179.9,178.5,7.74,7.67,8.47,9.17
LYS,28,0.0412,-65.1,178.3,-171.9,-64.1,9.74,10.61,10.85,9.32
LYS,20,0.0294,-69.6,-169.7,-70.8,-176.8,8.6,11.2,9.01,8.76
LYS,11,0.0162,-73.2,-169.1,-70.4,-65.8,10.83,7.57,7.04,8.34
LYS,2,0.0029,-55.1,-80.1,92.8,-175.3,2.11,20.54,7.59,7.55
LYS,11,0.0162,-56.8,-78.1,174.4,59.8,12.97,11.92,10.99,12.91
LYS,41,0.0603,-62.3,-65.6,-177.3,-178.7,6.8,7.24,6.7,7.88
LYS,17,0.025,-60.7,-63.3,-179.7,-64.5,11.53,8.21,9.03,8.4
LYS,1,0.0015,-63.1,-64.5,-115.3,59.2,0.0,0.0,0.0,0.0
LYS,7,0.0103,-60.1,-54.7,-69.8,-171.7,18.25,9.41,5.77,13.35
LYS,2,0.0029,-51.7,-63.5,-70.6,-71.6,8.05,16.21,3.59,3.55
GLN,1,0.0034,54.6,118.0,17.5,0.0,0.0,0.0,0.0,0.0
GLN,1,0.0034,68.3,107.3,-112.8,0.0,0.0,0.0,0.0,0.0
GLN,2,0.0068,47.8,-171.4,32.6,0.0,17.24,1.73,29.86,0.0
GLN,3,0.0103,43.4,177.9,155.8,0.0,12.15,9.87,5.95,0.0
GLN,7,0.024,64.4,-174.6,-70.9,0.0,7.38,2.76,20.4,0.0
GLN,2,0.0068,69.4,-83.2,22.4,0.0,0.04,0.51,18.96,0.0
GLN,1,0.0034,63.8,-49.7,-61.8,0.0,0.0,0.0,0.0,0.0
GLN,30,0.1027,-174.9,65.8,36.0,0.0,8.43,5.9,18.59,0.0
GLN,4,0.0137,-153.5,78.2,-161.7,0.0,10.76,11.01,16.68,0.0
GLN,7,0.024,-162.1,69.7,-79.5,0.0,9.56,6.9,28.46,0.0
GLN,29,0.0993,-177.6,178.1,41.8,0.0,7.96,10.17,21.26,0.0
GLN,6,0.0205,-178.7,-177.6,170.0,0.0,4.05,3.59,17.79,0.0
GLN,21,0.0719,-174.0,-176.8,-48.0,0.0,14.62,8.29,18.62,0.0
GLN,1,0.0034,-173.8,-103.0,38.3,0.0,0.0,0.0,0.0,0.0
GLN,3,0.0103,-162.9,-92.8,-16.6,0.0,1.78,3.81,8.74,0.0
GLN,8,0.0274,-76.1,69.1,29.2,0.0,4.7,6.31,15.73,0.0
GLN,2,0.0068,-59.6,81.5,-166.5,0.0,2.26,0.29,7.32,0.0
GLN,8,0.0274,-69.0,88.3,-45.1,0.0,12.98,8.09,16.24,0.0
GLN,60,0.2055,-66.2,-179.4,45.5,0.0,8.94,11.82,20.45,0.0
GLN,13,0.0445,-55.5,171.8,-172.6,0.0,12.13,7.07,24.49,0.0
GLN,38,0.1301,-68.3,-177.0,-43.0,0.0,8.26,9.52,24.89,0.0
GLN,7,0.024,-57.8,-68.2,67.1,0.0,7.11,9.47,27.99,0.0
GLN,6,0.0205,-68.9,-67.0,141.8,0.0,7.37,11.32,28.09,0.0
GLN,32,0.1096,-63.8,-63.5,-45.7,0.0,10.1,8.01,11.18,0.0
GLU,1,0.0029,24.1,68.7,87.5,0.0,0.0,0.0,0.0,0.0
GLU,12,0.0352,68.5,172.3,43.6,0.0,14.43,8.28,19.91,0.0
GLU,6,0.0176,65.6,178.6,-156.7,0.0,3.66,13.24,15.99,0.0
GLU,8,0.0235,66.1,-172.3,-45.6,0.0,17.9,6.82,14.09,0.0
GLU,4,0.0117,59.1,-85.1,41.2,0.0,9.0,4.02,9.92,0.0
GLU,3,0.0088,55.8,-85.1,-154.1,0.0,9.65,8.81,8.89,0.0
GLU,1,0.0029,36.1,-104.4,-74.2,0.0,0.0,0.0,0.0,0.0
GLU,22,0.0645,-176.5,66.2,35.4,0.0,9.03,9.82,17.55,0.0
GLU,6,0.0176,-164.1,68.5,-149.1,0.0,14.79,7.96,12.84,0.0
GLU,5,0.0147,179.4,65.9,-66.3,0.0,17.75,14.94,36.96,0.0
GLU,19,0.0557,-172.8,176.4,29.4,0.0,8.4,7.11,21.46,0.0
GLU,18,0.0528,-176.8,-179.4,-177.9,0.0,7.9,10.62,16.15,0.0
GLU,31,0.0909,-173.4,-177.1,-34.8,0.0,9.96,9.88,21.69,0.0
GLU,1,0.0029,132.8,-99.7,54.8,0.0,0.0,0.0,0.0,0.0
GLU,3,0.0088,176.4,-100.0,170.7,0.0,16.0,2.63,13.94,0.0
GLU,8,0.0235,-175.3,-86.6,-48.2,0.0,12.44,9.11,14.16,0.0
GLU,12,0.0352,-81.6,80.1,26.9,0.0,18.45,13.1,15.19,0.0
GLU,5,0.0147,-63.0,81.9,168.3,0.0,9.4,4.82,16.42,0.0
GLU,17,0.0499,-65.1,89.9,-20.5,0.0,8.31,4.55,11.44,0.0
GLU,42,0.1232,-64.6,175.4,40.6,0.0,9.79,13.69,21.85,0.0
GLU,17,0.0499,-67.8,169.6,175.5,0.0,8.54,7.5,19.59,0.0
GLU,45,0.132,-63.2,179.3,-39.0,0.0,7.95,9.19,21.73,0.0
GLU,14,0.0411,-62.7,-83.8,24.6,0.0,6.96,9.5,23.92,0.0
GLU,9,0.0264,-64.2,-67.2,165.3,0.0,10.18,10.47,20.59,0.0
GLU,32,0.0938,-62.5,-65.7,-43.5,0.0,7.74,8.84,15.8,0.0
MET,1,0.0083,23.8,56.8,151.5,0.0,0.0,0.0,0.0,0.0
MET,1,0.0083,63.5,-177.0,60.1,0.0,0.0,0.0,0.0,0.0
MET,3,0.025,66.9,-165.4,-162.6,0.0,11.0,15.98,10.15,0.0
