AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
LYS,1,0.0015,24.8,-107.1,99.2,75.2,0.0,0.0,0.0,0.0
LYS,1,0.0015,85.6,-79.9,-127.3,84.3,0.0,0.0,0.0,0.0
LYS,2,0.0029,47.2,-100.7,179.7,172.7,30.57,0.93,20.98,5.93
LYS,1,0.0015,37.6,-77.2,-68.1,-61.5,0.0,0.0,0.0,0.0
LYS,3,0.0044,178.0,68.4,94.4,65.6,5.06,21.94,15.28,6.5
LYS,2,0.0029,-155.2,113.7,63.1,176.5,0.08,3.07,6.54,15.39
LYS,2,0.0029,-170.4,73.6,73.3,-78.8,5.4,2.16,12.29,20.11
LYS,8,0.0118,178.4,69.8,162.6,56.6,8.48,11.62,11.97,17.18
LYS,23,0.0338,-175.9,70.0,174.8,174.7,7.18,10.69,10.12,7.76
LYS,9,0.0132,-174.6,66.3,169.9,-58.6,8.67,6.44,8.66,11.22
LYS,1,0.0015,-134.6,85.6,-67.7,-68.9,0.0,0.0,0.0,0.0
LYS,3,0.0044,-177.0,170.8,77.5,77.8,3.43,7.31,10.86,16.99
LYS,22,0.0324,-173.3,177.6,69.5,176.4,7.98,11.06,10.75,10.57
LYS,3,0.0044,-176.1,172.4,79.2,-86.7,3.93,8.56,7.88,11.65
LYS,22,0.0324,-173.8,176.4,-177.7,63.1,8.6,11.05,8.35,8.23
LYS,69,0.1015,-177.5,178.4,-179.1,-178.9,6.5,9.35,8.06,8.57
LYS,25,0.0368,-177.0,177.4,177.9,-69.7,7.73,12.39,9.78,10.89
LYS,3,0.0044,180.0,-178.7,-79.1,75.4,6.22,13.5,6.41,14.97
LYS,19,0.0279,-168.5,177.1,-71.7,-178.8,9.89,14.94,12.49,9.22
LYS,12,0.0176,-170.0,-173.0,-78.5,-78.6,10.18,11.75,13.88,14.0
LYS,4,0.0059,-132.9,-64.3,164.4,69.1,7.26,14.52,15.7,17.75
LYS,2,0.0029,-142.7,-78.9,-179.2,177.4,12.56,12.21,4.57,1.19
LYS,2,0.0029,-143.5,-66.4,-173.0,-49.1,20.2,4.05,2.05,12.22
LYS,1,0.0015,-174.8,-92.5,-94.0,61.6,0.0,0.0,0.0,0.0
LYS,2,0.0029,-166.2,-97.4,-67.0,-176.4,10.05,14.52,9.76,3.13
