AA,_COUNT,COUNT,PROB,CHI1,CHI2,CHI3,CHI4,CHI1Sig,CHI2Sig,CHI3Sig,CHI4Sig
ARG,5,4556,0.0010974539069359087,61.19028773803732,98.84839293984673,51.454217130871,-173.31410562582536,27.29055693403429,14.32858004681497,6.773912718716438,23.2026123057031
ARG,6,4556,0.0013169446883230904,61.07200095070045,99.91595240883939,-177.7405345325142,174.0541670117765,2.851679530348105,11.296459338284931,13.605376986522167,9.457554973389193
ARG,16,4556,0.003511852502194908,64.91614522105178,173.71727646116327,62.14452882018607,85.51649587642501,12.226577062671549,11.774464507639445,8.684831083099692,11.977558111336243
ARG,38,4556,0.008340649692712906,62.374295911128954,-173.29321973460975,65.25593212971306,-176.92596386966136,11.7996915079854,15.082962363860963,10.321722047935998,15.018378137445268
ARG,13,4556,0.0028533801580333624,66.67029613133137,-173.67271574743324,72.53065592085804,-104.97524413210148,8.642033250640202,10.422358527959917,14.792719284388419,10.284083407525383
ARG,44,4556,0.009657594381035996,63.87706214824173,179.27972139301147,178.414349927906,85.93373378356925,8.120074088982816,10.076773717807379,11.723797585095888,6.336035988554287
ARG,64,4556,0.014047410008779631,66.56658743775695,-177.66109654744122,178.98731770087372,-176.57081135222776,9.579471322693523,11.124237732436024,9.584561148242258,15.319888249588187
ARG,46,4556,0.01009657594381036,61.26721645021894,-175.7338150627703,-176.14335284090916,-82.2416085016025,7.20235449851683,10.146526390848946,9.150036018126428,8.77574908680587
ARG,36,4556,0.007901668129938543,67.52576647627804,-176.95536396903623,-71.00276712159524,174.0858703543081,10.380957159884451,11.990365972762582,11.477880304761525,17.646659898118
ARG,16,4556,0.003511852502194908,61.722234299467395,-179.74833023783015,-62.53338623853746,-81.00030884091214,10.363664174078007,12.216002539679936,11.910883818421226,8.461405873725434
ARG,21,4556,0.0046093064091308165,-173.0733371170493,66.14152707754882,62.69517769875848,86.166069362119,10.093991847821009,14.563240404529735,9.034827187290237,10.96075604010686
ARG,32,4556,0.007023705004389816,175.48912952804727,69.47605767616784,63.873315821936686,-175.10397879316292,9.812236822277754,17.246092061620576,12.773887273133871,17.055747570007355
ARG,9,4556,0.001975417032484636,-172.2532227985143,66.89376277343287,72.00930317729963,-98.03467305821331,10.732043516788883,11.609112049576389,12.835648973837035,15.72907714981591
ARG,46,4556,0.01009657594381036,-174.59177148131968,66.6672258274031,176.56686819616274,82.63765368902096,12.306717655970917,8.67063982308384,11.117075216246166,9.739828874456455
ARG,71,4556,0.015583845478489903,179.66578232629092,65.20913948622204,178.07822913854744,172.9146837669053,7.456489263921021,8.772567958623979,9.923640200848926,12.093098947554568
ARG,31,4556,0.006804214223002634,-175.58946553426412,65.90458764043693,-176.04077128382787,-87.79749270601702,13.679728004147242,11.333907210810521,18.42199906713913,12.581368027261025
ARG,12,4556,0.0026338893766461808,-178.2242139945122,82.23334208205748,-89.46648615391324,166.62253076004302,8.874694563578965,16.631765107336484,11.351940415984291,14.223834027504049
ARG,135,4556,0.029631255487269536,-178.48408259464367,177.71301538929566,65.90228924204607,81.11569857841869,8.576100117455736,11.654308894522062,10.838136621027157,9.513658981336405
ARG,126,4556,0.0276558384547849,-173.41905690533625,174.2719180610536,66.10719030793146,-165.92698967733264,10.184716288272144,14.293669646132962,9.994124542823705,18.39070722292014
ARG,56,4556,0.012291483757682178,-174.51235439192396,173.58029719958586,63.73904520660207,-106.43668416114126,9.468757053646513,11.386034749013868,14.64279237403438,9.912825712998435
ARG,78,4556,0.017120280948200176,-176.28431591575887,177.95595381470332,173.90896689812945,80.00603247759082,8.841805698310237,11.820380738845612,11.304056576778786,12.564336441169896
ARG,171,4556,0.03753292361720808,-176.8587928002691,176.24243836739376,-179.7025443264895,-179.13785505772185,8.645699480553406,9.665656120911445,10.254367711398185,12.06772606863561
ARG,113,4556,0.024802458296751536,-177.28767125807346,175.19737067980188,-179.32394267348488,-86.5072663744526,9.307207004329868,9.492075759699736,10.485271356914126,9.656421337950832
ARG,71,4556,0.015583845478489903,-174.99195474813283,177.68219610038193,-69.98470431219552,105.9978282754124,9.079803687060009,8.608735944267348,13.28712416455006,7.212546666052014
ARG,127,4556,0.02787532923617208,-172.77970563586314,178.6851299617293,-62.31323624922586,168.51959238561417,12.321165325547824,12.62986193238358,10.783076215213828,17.384646253665178
ARG,103,4556,0.02260755048287972,-174.27017180113307,-179.09727101016924,-65.91777914420975,-84.39404551107538,10.482111790197797,9.879322261808412,9.775681045087032,10.48266270738272
ARG,10,4556,0.0021949078138718174,-157.8300275659344,-87.32981719558431,-176.94074369797116,80.91058200724599,19.237209583567633,11.884279358957816,16.18846050202911,13.887591039578126
ARG,18,4556,0.003950834064969272,-153.8071382970151,-85.05699291660822,179.15407617933545,175.30075686525046,20.301146832876157,18.026073131565663,19.612154172212716,12.508680077284662
