AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,79,0.0195,-66.0,-69.6,-176.7,-87.0,6.73,7.47,8.74,8.87
ARG,10,0.0025,-58.3,-72.7,-75.5,98.7,11.64,6.87,15.43,13.43
ARG,66,0.0163,-61.2,-67.6,-63.7,172.1,10.13,15.35,10.86,11.23
ARG,74,0.0183,-63.7,-69.0,-62.0,-82.8,8.85,10.29,11.23,8.72
LYS,2,0.0004,50.4,96.7,83.6,71.5,7.59,4.02,7.64,8.59
LYS,3,0.0007,83.7,111.2,59.6,168.7,11.2,3.75,8.96,12.75
LYS,1,0.0002,58.8,90.3,-158.7,64.2,0.0,0.0,0.0,0.0
LYS,11,0.0025,67.8,94.6,174.8,177.9,8.91,12.85,9.87,6.07
LYS,1,0.0002,54.1,98.4,179.6,-49.8,0.0,0.0,0.0,0.0
LYS,14,0.0031,62.9,174.1,65.4,65.1,10.42,11.43,7.74,9.2
LYS,41,0.0092,60.3,177.2,65.2,174.6,18.0,11.43,8.74,11.23
LYS,2,0.0004,42.6,-152.6,89.2,-69.0,33.94,31.08,19.93,14.58
LYS,24,0.0054,61.2,-178.1,178.3,60.8,14.58,11.11,9.56,11.88
LYS,110,0.0247,62.8,179.2,-178.6,178.4,8.59,7.44,7.52,7.74
LYS,36,0.0081,63.0,179.1,-176.6,-67.5,7.11,9.64,10.63,9.99
LYS,2,0.0004,56.2,-173.8,-79.8,66.9,4.93,14.89,13.15,6.47
LYS,36,0.0081,65.3,-176.2,-68.3,-170.9,9.95,13.12,11.35,12.49
LYS,15,0.0034,56.3,-173.5,-78.5,-64.1,14.33,11.34,15.54,16.07
LYS,2,0.0004,48.8,-69.4,104.7,57.2,2.74,0.71,4.15,6.54
LYS,2,0.0004,77.1,-85.8,-173.3,65.2,7.54,5.67,3.98,10.57
LYS,4,0.0009,55.8,-100.2,174.2,-175.2,20.21,6.15,4.32,5.84
LYS,1,0.0002,54.5,-70.4,172.1,-60.6,0.0,0.0,0.0,0.0
LYS,1,0.0002,59.1,-102.7,-97.4,74.7,0.0,0.0,0.0,0.0
LYS,3,0.0007,12.4,-96.7,-74.1,175.0,22.09,18.99,8.58,0.65
LYS,2,0.0004,50.4,-90.6,-53.4,-52.9,23.14,3.27,9.42,4.31
LYS,12,0.0027,-174.3,66.1,64.8,68.5,9.57,14.92,11.0,7.37
LYS,30,0.0067,-176.2,65.9,68.7,179.9,8.74,14.0,8.28,8.96
LYS,3,0.0007,-176.1,65.4,63.8,-67.6,7.66,22.87,21.2,18.7
LYS,39,0.0088,-175.7,70.8,176.7,61.1,10.14,13.22,15.06,8.33
LYS,129,0.029,-175.9,66.7,179.1,179.0,11.73,8.42,8.92,8.46
LYS,47,0.0106,-176.2,65.1,178.2,-64.9,9.98,11.21,9.63,10.62
LYS,8,0.0018,-164.9,78.4,-80.6,172.2,14.8,16.82,9.12,7.71
LYS,2,0.0004,-171.9,74.9,-91.0,-29.8,9.0,43.35,27.11,25.74
LYS,34,0.0076,-173.2,168.7,70.2,66.4,10.72,13.34,16.41,6.49
LYS,116,0.0261,-172.5,174.9,68.1,175.8,10.51,11.87,11.3,11.09
LYS,10,0.0022,-175.2,159.3,75.7,-75.1,6.62,12.74,13.96,12.64
LYS,144,0.0324,-175.2,179.3,176.7,63.9,7.72,9.91,10.51,10.69
LYS,528,0.1187,-175.7,178.3,179.7,-179.5,8.11,9.21,8.22,8.89
LYS,158,0.0355,-174.5,178.3,-177.8,-64.5,10.17,11.3,11.69,11.13
LYS,11,0.0025,-175.7,173.9,-71.7,68.3,10.23,9.55,8.91,11.4
LYS,150,0.0337,-171.4,-177.5,-66.8,-178.9,10.48,13.77,11.36,10.3
LYS,42,0.0094,-177.1,-177.5,-72.3,-69.3,9.09,13.0,11.11,11.24
LYS,1,0.0002,-133.7,-72.0,104.9,-123.7,0.0,0.0,0.0,0.0
LYS,1,0.0002,-153.2,-68.6,107.0,-60.0,0.0,0.0,0.0,0.0
LYS,22,0.0049,-155.9,-82.3,-174.9,65.9,16.1,11.99,10.25,11.57
LYS,27,0.0061,-153.9,-79.2,-178.7,-178.6,14.06,16.13,8.57,6.43
LYS,11,0.0025,-157.6,-86.7,-172.1,-64.0,16.17,14.44,8.89,6.89
LYS,2,0.0004,-177.8,-70.7,-80.7,67.2,9.23,0.29,4.38,6.7
LYS,6,0.0013,-159.4,-106.7,-70.7,178.2,16.12,7.99,9.64,20.82
LYS,3,0.0007,-150.6,-93.2,-70.4,-54.9,9.85,7.54,12.26,17.04
LYS,5,0.0011,-94.6,88.7,68.1,71.7,11.42,10.45,9.9,12.05
LYS,10,0.0022,-89.7,83.1,64.3,-170.6,9.82,23.08,7.49,12.85
LYS,23,0.0052,-86.2,67.9,176.2,59.0,7.97,17.31,13.06,13.42
LYS,61,0.0137,-85.4,76.1,-178.3,175.9,16.42,15.08,8.42,8.62
LYS,18,0.004,-96.5,65.8,178.3,-59.4,7.87,11.68,11.85,11.47
LYS,1,0.0002,-79.8,105.4,-80.8,87.3,0.0,0.0,0.0,0.0
LYS,3,0.0007,-96.4,95.2,-74.6,179.3,17.01,6.45,1.35,2.31
LYS,82,0.0184,-68.0,174.6,71.8,65.2,9.1,13.31,11.18,9.87
LYS,183,0.0411,-68.4,174.6,68.9,176.5,10.72,15.21,11.26,9.77
LYS,21,0.0047,-66.7,174.6,77.2,-71.5,11.48,13.4,10.47,8.0
LYS,220,0.0494,-69.1,-174.2,176.6,65.2,8.41,11.61,13.45,10.74
LYS,912,0.2049,-67.6,-179.0,179.7,179.0,8.03,8.88,8.93,9.39
