AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
TYR,87,0.0346,65.3,-83.0,0.0,0.0,8.12,8.79,0.0,0.0
TYR,781,0.3105,179.7,75.0,0.0,0.0,7.39,10.18,0.0,0.0
TYR,11,0.0044,-165.3,-173.6,0.0,0.0,13.72,29.55,0.0,0.0
TYR,144,0.0573,-176.8,-86.4,0.0,0.0,7.73,8.44,0.0,0.0
TYR,397,0.1579,-68.2,83.5,0.0,0.0,9.39,13.05,0.0,0.0
TYR,47,0.0187,-68.3,152.4,0.0,0.0,10.81,19.03,0.0,0.0
TYR,876,0.3483,-65.6,-71.5,0.0,0.0,8.08,14.15,0.0,0.0
CYS,172,0.2082,64.8,0.0,0.0,0.0,7.72,0.0,0.0,0.0
CYS,233,0.2821,-175.9,0.0,0.0,0.0,7.25,0.0,0.0,0.0
CYS,421,0.5097,-67.0,0.0,0.0,0.0,8.99,0.0,0.0,0.0
SER,1611,0.4235,65.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0
SER,1003,0.2637,177.6,0.0,0.0,0.0,8.85,0.0,0.0,0.0
SER,1190,0.3128,-62.1,0.0,0.0,0.0,9.93,0.0,0.0,0.0
THR,1555,0.4635,61.2,0.0,0.0,0.0,7.25,0.0,0.0,0.0
THR,306,0.0912,-176.9,0.0,0.0,0.0,9.1,0.0,0.0,0.0
THR,1494,0.4453,-58.8,0.0,0.0,0.0,8.05,0.0,0.0,0.0
VAL,407,0.0985,62.0,0.0,0.0,0.0,10.81,0.0,0.0,0.0
VAL,2854,0.691,175.8,0.0,0.0,0.0,6.08,0.0,0.0,0.0
VAL,869,0.2104,-61.1,0.0,0.0,0.0,8.14,0.0,0.0,0.0
