AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,26,0.0064,-68.5,-71.3,82.4,-165.1,12.49,16.8,12.01,19.26
ARG,2,0.0005,-64.9,-101.8,75.5,-107.7,13.55,8.05,8.54,1.86
ARG,54,0.0133,-59.0,-67.9,176.9,84.9,9.77,9.21,14.43,10.81
ARG,109,0.0269,-64.4,-66.2,-178.1,-175.2,8.54,9.93,10.73,12.48
ARG,69,0.017,-64.8,-69.6,-175.7,-84.7,6.56,8.09,7.78,8.29
ARG,14,0.0035,-62.3,-78.8,-72.4,109.1,6.95,13.03,7.03,7.62
ARG,81,0.02,-62.2,-68.7,-66.5,172.5,8.16,11.84,10.29,12.74
ARG,67,0.0165,-63.1,-67.1,-57.3,-83.2,8.3,8.79,10.14,7.39
LYS,2,0.0004,57.8,103.1,87.1,179.7,3.27,4.63,9.48,0.9
LYS,1,0.0002,92.0,101.0,46.0,-91.3,0.0,0.0,0.0,0.0
LYS,4,0.0009,48.1,72.3,174.3,70.5,14.8,7.45,28.47,15.76
LYS,7,0.0016,65.1,90.8,-164.1,174.1,15.83,9.55,14.71,12.38
LYS,4,0.0009,56.8,92.2,178.1,-63.7,7.94,4.53,8.91,4.71
LYS,1,0.0002,59.9,65.2,-82.5,169.6,0.0,0.0,0.0,0.0
LYS,13,0.0029,67.5,176.1,67.1,68.7,13.89,5.41,8.43,10.87
LYS,34,0.0076,59.8,170.6,66.7,176.3,10.54,13.82,10.23,8.67
LYS,9,0.002,54.2,158.7,72.7,-80.0,10.01,15.15,12.44,7.52
LYS,36,0.0081,61.7,-179.1,174.1,63.3,7.25,9.13,12.16,6.81
LYS,141,0.0317,64.7,-179.2,179.3,178.4,6.96,9.08,9.67,8.11
LYS,27,0.0061,60.6,-179.5,-179.5,-65.6,7.85,11.78,12.55,7.89
LYS,2,0.0004,53.5,178.3,-105.5,59.7,2.84,3.67,4.26,23.0
LYS,39,0.0088,58.8,-171.3,-63.8,-177.0,11.13,12.09,11.26,9.7
LYS,7,0.0016,66.9,-166.7,-74.6,-56.5,8.58,11.52,20.91,9.79
LYS,2,0.0004,26.6,-71.7,78.0,54.7,1.79,35.39,21.2,20.6
LYS,2,0.0004,47.4,-68.3,85.3,-173.2,18.95,31.97,13.35,12.14
LYS,4,0.0009,51.3,-96.4,-176.9,80.0,22.8,9.73,28.08,12.32
LYS,5,0.0011,53.5,-95.2,-169.8,174.6,18.42,6.38,9.68,2.76
LYS,3,0.0007,34.8,-37.0,-172.1,-74.0,18.24,3.82,19.49,17.91
LYS,1,0.0002,98.0,-68.4,-116.8,64.0,0.0,0.0,0.0,0.0
