AA	_COUNT	COUNT	PROB	CHI1	CHI2	CHI3	CHI4	CHI1Sig	CHI2Sig	CHI3Sig	CHI4Sig
ARG	7	4454	0.001571621014818141	55.244937891108236	94.71746798116958	173.54176027478286	174.98391404016752	10.54013755766998	12.895306033718073	15.102035049492489	10.912630477423404
ARG	26	4454	0.0058374494836102376	67.24247848528466	178.02518868020354	65.47571809011966	89.57227076719613	13.016783660722025	9.593306613593748	12.958590656067953	9.54514077206191
ARG	39	4454	0.008756174225415357	68.00839359725396	-178.12712477092745	61.75627919741176	-174.9285371403629	10.780130065944544	12.870744213485997	12.582010351113443	11.536693193472525
ARG	15	4454	0.003367759317467445	66.05371781455223	-173.00243755128974	74.93408057114969	-105.68002483879178	9.673437169516957	14.47422735238711	13.763770409758566	7.789914424790597
ARG	68	4454	0.015267175572519083	66.29963424276977	-179.27523242293202	177.1235538352558	86.56914922201007	8.85429651213686	10.012210470528734	9.355122193496339	8.324372908011915
ARG	78	4454	0.017512348450830714	63.485477962575075	-179.50680125367805	178.7650325002234	-177.22092107793972	9.264722692180266	10.627813319746688	11.455652265998266	12.006296470423251
ARG	42	4454	0.009429726088908847	63.26782359423564	-176.3720431401294	-176.54701834879697	-85.06627032918325	4.523628344865809	10.039805647116435	9.40916766329103	8.123315659602762
ARG	44	4454	0.009878760664571173	59.55015359080052	178.259643690427	-62.66674842196752	175.83032211072654	11.00103092282272	12.726642191724123	11.098468655860746	14.206531630415606
ARG	24	4454	0.005388414907947912	64.84637214588427	-179.16178418441888	-56.661433726567196	-84.59780791451361	10.614115083726576	14.653688990519255	19.134929112189255	18.006443922116294
ARG	5	4454	0.001122586439155815	52.381314101102234	-84.6014329541271	-166.44412603180413	71.55055318362167	22.238301050902606	8.429836574481678	8.866923704118213	8.326605606759413
ARG	7	4454	0.001571621014818141	68.45381604173062	-90.73741427119583	179.60343751456998	177.64582764069743	11.436079257388696	10.721402164464681	15.605423663882133	18.43542545645661
ARG	27	4454	0.006061966771441401	-174.86220276070898	66.05516611469525	63.76360090355777	83.11029848203823	9.626136097238073	8.286711473514362	12.9938262451894	8.84206536790269
ARG	39	4454	0.008756174225415357	-178.08955951352192	77.88683725975717	64.06206402731789	-177.1872713448076	11.774597054244856	13.936520108387791	9.651425274538711	11.453232869837516
ARG	49	4454	0.011001347103726987	-176.47072685391342	69.22509075297484	176.47581915682593	89.43590101730642	11.229754242671369	10.21206701663549	11.075840806950099	12.262608877976568
ARG	76	4454	0.01706331387516839	-176.81046007633236	64.60740174977661	177.31637750140203	175.34158655382063	10.527399362084312	8.765685677920969	11.58539403800623	14.193450358601359
ARG	43	4454	0.009654243376740009	-177.97206699548966	72.03557463865886	-175.74420147396052	-81.44979431950561	9.135347592369545	12.347059788818603	14.700988306991015	12.925395269744724
ARG	21	4454	0.004714863044454423	-174.44129320388964	76.26032572253106	-80.66175346591476	169.8113531848754	9.62697600221859	13.151764580538861	15.688892654060686	9.978422631972322
ARG	10	4454	0.00224517287831163	174.9347332699113	81.32572892534894	-81.9653086449655	-93.36733990578247	4.65586682688539	4.2698019063722725	25.402287466609557	22.467089119768737
ARG	153	4454	0.03435114503816794	-177.3427190909364	175.91664883739273	65.05189414083839	82.37675997276983	9.156092412921021	12.271820891924094	9.680333544529743	10.903386789450382
ARG	165	4454	0.03704535249214189	-173.53091590604376	178.06423700367222	63.71978639466755	-166.0964197089107	11.095589186095681	14.377230271274128	9.677666925130664	19.256079261414836
ARG	67	4454	0.015042658284687921	-172.64108927117564	175.3513300441159	70.16425883612148	-106.06955158882371	7.803171408808032	13.706552986977233	13.599234001106755	7.828810627137198
ARG	111	4454	0.024921418949259092	-178.09129571196874	178.27814980328318	175.63421660104757	83.44567261741223	9.344596669609114	12.962506725307282	13.2804625834152	10.640345458228882
ARG	206	4454	0.046250561293219576	-176.76370891755545	177.75138653247467	179.84650203397922	-178.43491529094368	9.321164491725305	11.220577890446489	10.806939676896967	12.516668618415519
ARG	139	4454	0.031207903008531657	-175.1867287928751	-179.54151393813177	-179.94257874030532	-86.38859420566521	8.905874982845393	11.322861863432164	13.903984806730831	11.157228375465094
ARG	78	4454	0.017512348450830714	-176.02092543017247	177.32027097103187	-67.13014904054627	107.2971413597968	11.746134381895727	8.82893915099585	12.494078598174648	5.812029209146006
ARG	168	4454	0.03771890435563539	-176.4937716713623	178.03002744676374	-65.92146659156646	170.42678845880408	10.2363719133851	14.042879562475939	11.720117041368196	18.266624024169726
ARG	130	4454	0.02918724741805119	-175.8307012639007	-179.69008808156735	-61.90776664560516	-83.6220326854699	9.239340853603418	9.756497654628465	13.120142683450647	11.311495418397636
ARG	10	4454	0.00224517287831163	-172.42947008225832	-93.80258727941718	-170.87626068279488	59.03374158227449	11.418546207739968	3.6622892550856747	15.45610473797946	11.823257079109274
ARG	21	4454	0.004714863044454423	-165.7652398166644	-83.2768213067022	178.31755789747078	-174.85741577942042	21.48923844983675	15.491924970395022	14.35680118245406	14.256971130441535
ARG	6	4454	0.001347103726986978	-137.6984163782112	-81.62653939026936	174.78969563565303	-80.27932120903372	12.58887083767376	16.652021124831307	11.752495903477742	12.324536482312928
