AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,2,0.0006,-64.9,-101.8,75.5,-107.7,13.55,8.05,8.54,1.86
ARG,36,0.0112,-58.4,-70.7,174.9,86.1,10.19,8.83,14.52,10.34
ARG,85,0.0264,-64.6,-65.6,-179.1,-175.4,8.13,9.91,11.41,12.71
ARG,54,0.0168,-64.7,-69.2,-175.1,-86.0,6.13,7.96,7.22,7.59
ARG,12,0.0037,-61.4,-80.2,-70.7,108.9,6.51,13.28,7.09,7.93
ARG,65,0.0202,-62.6,-66.1,-65.6,173.8,8.08,11.19,9.96,13.7
ARG,55,0.0171,-63.5,-68.9,-56.3,-83.2,9.02,8.91,9.91,7.48
LYS,2,0.0005,57.8,103.1,87.1,179.7,3.27,4.63,9.48,0.9
LYS,3,0.0008,57.5,76.0,158.6,63.6,9.38,6.99,29.65,5.75
LYS,4,0.0011,75.9,85.6,-158.4,174.1,23.48,12.95,10.46,20.88
LYS,4,0.0011,56.8,92.2,178.1,-63.7,7.94,4.53,8.91,4.71
LYS,1,0.0003,59.9,65.2,-82.5,169.6,0.0,0.0,0.0,0.0
LYS,9,0.0024,59.1,176.6,66.7,67.6,15.98,5.13,7.07,8.99
LYS,30,0.008,59.6,168.3,66.8,176.4,10.4,13.64,10.13,7.77
LYS,7,0.0019,53.9,163.3,77.8,-80.4,7.46,13.8,9.82,6.58
LYS,33,0.0088,62.4,179.7,175.0,63.4,7.32,9.03,12.37,7.08
LYS,113,0.03,65.5,-179.7,179.0,178.2,6.51,8.96,9.47,8.0
LYS,21,0.0056,59.3,-179.6,177.7,-64.7,7.36,11.25,13.72,9.43
LYS,1,0.0003,50.7,-178.0,-101.3,36.7,0.0,0.0,0.0,0.0
LYS,27,0.0072,56.3,-169.6,-62.5,-174.2,11.88,9.36,12.62,10.64
LYS,4,0.0011,68.6,-159.4,-80.2,-49.5,7.59,14.48,25.92,9.07
LYS,1,0.0003,28.4,-36.3,56.8,34.0,0.0,0.0,0.0,0.0
LYS,2,0.0005,47.4,-68.3,85.3,-173.2,18.95,31.97,13.35,12.14
