AA,_COUNT,COUNT,PROB,CHI1,CHI2,CHI3,CHI4,CHI1Sig,CHI2Sig,CHI3Sig,CHI4Sig
ARG,5,3569,0.0014009526478005044,60.705198049220876,96.74821637954885,179.08945721730058,175.35325136308123,3.5080947206623363,12.390284714575847,15.249496672679653,11.494571816272149
ARG,13,3569,0.0036424768842813113,65.1490091227825,174.44524747963183,61.68509588444188,83.86389818871135,11.789146923599924,11.199955487959503,10.41399888975921,10.374058527271877
ARG,31,3569,0.008685906416363126,62.22282333076009,-170.48678509356552,64.2539676496788,-176.78055189894167,12.001533823776036,13.589682175924935,10.307831984879742,14.472079795268261
ARG,9,3569,0.0025217147660409078,67.38264946205474,-174.65399965531196,66.3363617888329,-106.33434609423554,6.989716723634699,13.596717570543868,14.42097375909209,9.091443871052238
ARG,33,3569,0.009246287475483329,64.33518333777292,179.40657017486367,177.32332899690462,86.26075911958301,7.221964726349934,10.213563237892012,8.876478289231512,5.512904896667384
ARG,55,3569,0.015410479125805548,66.43889596912096,-177.0692695948437,179.05172641464875,-175.2700735963605,9.425854550856043,10.4435018534623,9.73603905331936,15.633997405917256
ARG,34,3569,0.009526478005043429,60.33184364808323,-172.80528977191707,-177.7430050083339,-81.90201876213135,7.017759071926959,9.964277670901389,8.435608320360995,9.497082795787426
ARG,24,3569,0.0067245727094424204,64.90423000155243,-178.16558966945172,-68.126010559842,169.66191897325206,11.252528654322333,12.834588219683772,9.80105813802509,17.38008408887105
ARG,10,3569,0.002801905295601009,66.01913128404992,-179.66616087324158,-66.40282115196706,-80.62870649388356,9.736407422487462,13.102233463768862,9.031116304519028,7.684901370511236
ARG,16,3569,0.004483048472961614,-173.2702739902916,67.85539698946373,63.622547074928825,85.67484842669752,11.540053051022067,12.543967467667631,8.289578325890888,11.183605201727856
ARG,25,3569,0.0070047632390025216,176.6723929744339,74.49798793910186,61.83245035658596,-173.49732823846273,10.715851105012034,17.34307849175918,11.109692093728354,18.552629688628414
ARG,9,3569,0.0025217147660409078,-172.2532227985143,66.89376277343287,72.00930317729963,-98.03467305821331,10.732043516788883,11.609112049576389,12.835648973837035,15.72907714981591
ARG,35,3569,0.009806668534603531,-171.4997586080833,66.18221760221716,178.8507591838203,80.92890362214315,12.61982973758006,9.062560715414836,11.427918857770099,8.847186317056297
ARG,61,3569,0.017091622303166153,179.08048436154053,64.24859731148831,178.07285639151337,171.9218121891778,6.941883300036153,8.322743920962717,9.937100649240929,12.55617210768698
ARG,28,3569,0.007845334827682824,-177.49184941884926,65.01870403672935,-174.20173322039278,-87.2384217181807,12.001094350690915,10.982595160376356,18.30181600062983,13.16944865129998
ARG,9,3569,0.0025217147660409078,-179.44864354899224,78.2410007930583,-94.43533635294762,170.15321885826572,6.303356777713667,14.285309569416627,10.713406482322076,9.402817564929824
ARG,111,3569,0.031101148781171196,-178.33228479097048,177.0661756980437,66.50483288965586,80.94863803898754,9.070849902209225,13.016595407218656,11.331168226606984,9.556257778911817
ARG,106,3569,0.02970019613337069,-173.76432114695552,174.3748391409004,66.29621750557546,-165.74016316645114,10.466592091376707,13.855798919128974,10.649902400541952,18.75900825132446
ARG,46,3569,0.01288876435976464,-174.05622549197247,172.15081768185428,61.92056268861439,-105.793171204029,10.16439486125602,11.070234811375487,14.862525182049682,10.446008698130536
ARG,62,3569,0.017371812832726253,-177.2420675976123,178.56889028808214,173.87631542964306,81.31638790844579,8.948354685291205,11.80494037019682,9.318747890122985,12.524203474789935
ARG,146,3569,0.040907817315774725,-177.26387761345921,176.2652936073861,-179.56062893549554,-178.79613502942217,7.947894724516198,9.122325296819477,10.202499398028323,12.172407575285328
ARG,90,3569,0.025217147660409077,-177.64586076079428,175.13320585339184,-178.4529336804619,-85.40217772992226,9.477223954857354,9.402295597321139,9.546419401010947,8.602024145630224
ARG,59,3569,0.016531241244045952,-176.24493908453599,177.68363194047015,-70.14374026647766,106.31083217555229,8.450079016742258,8.67147858295875,12.817117845267878,6.639097060597486
ARG,99,3569,0.027738862426449986,-173.09459138854695,178.81664442857576,-61.31313003771916,168.5986676669988,12.615619578566298,12.980645394628155,10.98125686951479,17.506333742919924
ARG,81,3569,0.02269543289436817,-174.82246312691387,-179.63144968999703,-67.21312531429315,-84.73106820122415,10.3116068667866,10.017204151659199,10.341348933305106,10.826450910337318
ARG,7,3569,0.001961333706920706,-146.41365995108927,-89.5795565986438,-176.3309878594497,77.11647986427555,17.048409322481028,14.42653999643925,11.641635003213693,11.932549180180951
ARG,15,3569,0.004202857943401513,-151.09239933685436,-88.33302189325187,174.68331451461827,174.6087650552928,19.743216660721277,19.681793953672393,19.842313787024512,11.223465433998733
ARG,5,3569,0.0014009526478005044,-164.59987526729503,-100.93693521271496,-63.462350510764715,177.09870038813918,8.251874322141642,4.95084843636787,21.008673977127422,10.629236782915847
ARG,5,3569,0.0014009526478005044,-139.3285522819876,-20.034511608017432,-17.54794197166689,-17.58909831198544,12.665388972351112,40.09162755585888,29.92015279034018,31.09682692850027
ARG,8,3569,0.002241524236480807,-67.93870525832382,100.37910365712172,66.20503924467883,79.63727671239324,9.731386084395316,9.068360000856293,5.4866486314749014,6.605895158372797
ARG,14,3569,0.003922667413841412,-80.92441003583319,108.9990546555809,63.6154451277746,-171.37528437271482,20.97072856048606,6.664678528138042,9.969432962427735,12.317017591362493
ARG,15,3569,0.004202857943401513,-89.08966967350544,78.23829172653238,175.69731814171217,163.78266331616655,11.05061356661567,13.415309824844996,12.035109179601847,18.54321204848382
ARG,84,3569,0.023536004483048472,-64.79565996384547,177.73498203966992,65.22394433454805,86.13639909598224,8.331456513965227,8.656051828838926,9.996667866229389,9.904017407044293
ARG,176,3569,0.04931353320257775,-68.53801542163221,178.00993751326945,66.66321068033463,-170.49842159840932,8.65103648259804,13.54458557570728,9.722738478839528,16.58404112385821
ARG,27,3569,0.007565144298122724,-64.93158940049653,177.30555772419595,70.25276990020818,-104.3053997281054,5.543934105297822,7.2669504058529135,9.27965641268933,8.818558768868035
ARG,128,3569,0.035864387783692914,-68.00694579495767,-173.44587588852437,179.79494818810076,88.72155473640898,7.073937134597199,12.020782938426915,12.70516147599387,11.28389415026728
ARG,273,3569,0.07649201456990753,-67.7640421497202,179.91257886925914,-179.0635950951322,178.1911283310045,7.188728476963906,9.967601674743928,9.729795724252067,13.631016768887614
