Res	Avg.E	Form	Res	Avg.E	Form
4ZT0	122.980537	U	4ZT0	856.149106	U
5ED1	22.936727	U	5ED1	248.047143	U
5F5H	25.611064	U	5F5H	90.543143	U
1AV6	11.956397	U	1AV6	279.044499	U
1C9S	19.240275	U	1C9S	26.784494	U
1CVJ	34.521250	U	1CVJ	45.880633	U
1G2E	57.337722	U	1G2E	87.148843	U
1K8W	29.273787	U	1K8W	157.207635	U
1KQ2	65.223652	U	1KQ2	299.033480	U
1M5O	23.691975	U	1M5O	43.381546	U
1M8V	17.962631	U	1M8V	86.351600	U
1M8W	59.800447	U	1M8W	213.795130	U
1UVI	45.374232	U	1UVI	464.557602	U
1WPU	16.472673	U	1WPU	84.259757	U
2A8V	25.357283	U	2A8V	73.653521	U
2ASB	31.116824	U	2ASB	104.311042	U
2GIC	29.419791	U	2GIC	333.166726	U
2IX1	84.245149	U	2IX1	376.909692	U
2JEA	18.311876	U	2JEA	310.023995	U
2JLU	22.936516	U	2JLU	301.164156	U
2PY9	10.419780	U	2PY9	28.248488	U
2Q66	32.896863	U	2Q66	381.921174	U
2R7R	41.641995	U	2R7R	958.076676	U
2XGJ	22.992584	U	2XGJ	720.648453	U
2XNR	19.423358	U	2XNR	47.377056	U
2XZO	43.286129	U	2XZO	426.056759	U
3AEV	20.721664	U	3AEV	89.291281	U
3BX2	50.038143	U	3BX2	189.466356	U
3D2S	9.507729	U	3D2S	42.997480	U
3MDG	19.252561	U	3MDG	301.709075	U
3NMR	15.235421	U	3NMR	105.619593	U
3O8C	19.192150	U	3O8C	410.033087	U
3PF4	20.948224	U	3PF4	31.513362	U
3QJJ	55.429968	U	3QJJ	154.797465	U
3RC8	27.129922	U	3RC8	442.084887	U
4E78	44.591001	U	4E78	348.092560	U
4H5P	62.976984	U	4H5P	300.697817	U
4HOR	51.811647	U	4HOR	349.368172	U
4J7M	24.243044	U	4J7M	275.847056	U
4M59	120.630622	U	4M59	953.945482	U
4MDX	32.044234	U	4MDX	105.819458	U
4N2Q	8.936099	U	4N2Q	109.189490	U
4QU6	13.346703	U	4QU6	59.120945	U
5BUD	26.567603	U	5BUD	341.908314	U
5DET	37.243876	U	5DET	110.390476	U
5EIM	25.667824	U	5EIM	94.335291	U
5ELS	4.116354	U	5ELS	96.740731	U
5EX7	30.855047	U	5EX7	186.913494	U
1G1X	20.021075	U	1G1X	71.577229	U
2OZB	9.676927	U	2OZB	68.441898	U
3A6P	44.508683	U	3A6P	731.643800	U
3IEV	28.322966	U	3IEV	166.947938	U
3ZC0	40.608391	U	3ZC0	1171.667757	U
5WTK	120.598144	U	5WTK	819.775576	U
5LTA	47.615434	U	5LTA	535.530173	U
5WTY	62.546052	U	5WTY	397.768659	U
5GXH	40.251829	U	5GXH	475.395684	U
5T8Y	6.979419	U	5T8Y	277.117279	U
5B63	46.157735	U	5B63	387.852493	U
5SZE	10.134826	U	5SZE	56.570824	U
5V7C	24.953242	U	5V7C	128.151603	U
5W0M	25.281316	U	5W0M	231.974925	U
5WT1	81.429776	U	5WT1	187.318554	U
5WWX	14.767210	U	5WWX	37.662486	U
5X6B	20.169152	U	5X6B	662.505964	U
5ZQ8	38.124618	U	5ZQ8	337.597001	U
5ZSC	30.538412	U	5ZSC	656.611193	U
5ZW4	4.211243	U	5ZW4	161.543651	U
6A4E	15.224834	U	6A4E	128.457793	U
6A6J	22.977921	U	6A6J	46.249626	U
6DCB	6.507521	U	6DCB	165.057687	U
6FQ3	20.599123	U	6FQ3	282.240635	U
6GC5	30.862555	U	6GC5	42.813745	U
