Res	Avg.E	Form
1K8W	27.260308	B
1KQ2	58.847665	B
1M5O	26.994413	B
1M8V	19.139468	B
1M8W	51.428108	B
1UVI	48.939471	B
1WPU	18.092616	B
2A8V	17.365159	B
2ASB	26.355065	B
2GIC	25.035480	B
2IX1	93.123855	B
2JEA	24.765450	B
2JLU	33.182890	B
2PY9	10.803117	B
2Q66	41.445264	B
2R7R	39.454982	B
2XGJ	25.059180	B
2XNR	18.016062	B
2XZO	42.629098	B
3AEV	23.348287	B
3BX2	49.384039	B
3D2S	13.811316	B
3MDG	16.393586	B
3NMR	15.566670	B
3O8C	26.105349	B
3PF4	14.665362	B
3QJJ	49.549156	B
3RC8	21.428149	B
4E78	48.105533	B
4H5P	65.323168	B
4HOR	50.406909	B
4J7M	22.555051	B
4M59	102.862320	B
4MDX	36.278312	B
4N2Q	13.333879	B
4QU6	8.487512	B
5BUD	27.937854	B
5DET	47.181811	B
5EIM	29.540480	B
5ELS	4.137321	B
5EX7	22.770881	B
1G1X	18.036441	B
2OZB	13.282433	B
3A6P	49.108682	B
3IEV	27.700515	B
3ZC0	38.625531	B
5WTK	118.683806	B
5LTA	42.182075	B
5WTY	54.689354	B
5GXH	45.914795	B
5T8Y	9.560338	B
5B63	49.932748	B
5SZE	9.434848	B
5V7C	23.961983	B
5W0M	27.934455	B
5WT1	74.253236	B
5WWX	12.740398	B
5X6B	17.303201	B
5ZQ8	43.002125	B
5ZSC	20.348391	B
5ZW4	7.146580	B
6A4E	13.111917	B
6A6J	18.560181	B
6DCB	6.504094	B
6FQ3	24.387321	B
6GC5	35.994341	B
6HAU	28.729933	B
6I0V	21.738272	B
6L1W	31.425089	B
6L5N	19.236158	B
6LLB	40.737099	B
6LT7	46.013548	B
6LVR	20.573636	B
6PZQ	13.131632	B
6R9P	22.713556	B
6RTI	26.692003	B
6SY4	21.132598	B
6U6Y	68.433766	B
6U9X	42.010157	B
6ZOT	2.996685	B
6WXY	47.588352	B
6ZDP	31.576651	B
7C45	51.760616	B
7DOL	35.919478	B
7E8O	8.659488	B
7EIU	38.323293	B
7K5L	12.616604	B
7K98	127.929984	B
7KFN	21.373055	B
7KKV	16.406423	B
7KL3	23.803664	B
7L6T	26.326226	B
7MJW	32.052704	B
7OG0	11.690718	B
7OM6	54.748545	B
7P0V	11.393453	B
7V4G	33.725259	B
7XD8	59.551774	B
7VSJ	23.486140	B
7VKI	15.549642	B
7VKL	12.038849	B
7Y7Q	52.671237	B
8AF0	12.264770	B
8DZK	28.432000	B
8EDJ	34.746190	B
8H1B	20.023291	B
7YSE	35.473943	B
7XWZ	14.342070	B
8AXF	179.091027	B
8JOZ	29.132062	B
7ZLQ	8.853303	B
8TG4	18.208071	B
