Res	Avg.E	Form
1YVP	2.398876	B
1ZBI	1.674421	B
2AZ0	1.779045	B
2BGG	4.00296	B
2EZ6	1.982963	B
2F8S	2.471779	B
2GJW	4.009314	B
2GXB	2.150528	B
2QUX	1.532402	B
2Y8W	2.31178	B
2ZKO	1.518151	B
3BSN	1.707074	B
3EQT	2.146487	B
3FTE	3.55525	B
3KS8	2.733968	B
3MOJ	1.472254	B
3O3I	5.278027	B
3OIJ	1.589589	B
3OL6	1.933733	B
3RW6	2.899859	B
4ERD	4.803046	B
4FVU	2.435779	B
4IG8	1.773291	B
4ILL	2.140302	B
4ZT0	2.993363	B
5F5H	2.726928	B
1AV6	2.057621	B
1C9S	1.888949	B
1CVJ	4.03905	B
1G2E	3.05035	B
1K8W	2.107573	B
1KQ2	4.570248	B
1M5O	2.661158	B
1M8V	2.460252	B
1M8W	4.455225	B
1UVI	2.918499	B
1WPU	1.613254	B
2A8V	3.861336	B
2ASB	1.738116	B
2GIC	2.011567	B
2IX1	3.049166	B
2JEA	2.015714	B
2JLU	2.160652	B
2PY9	1.361377	B
2Q66	2.354242	B
2R7R	2.468829	B
2XGJ	1.627248	B
2XNR	3.54666	B
2XZO	3.094717	B
3AEV	1.730575	B
3BX2	3.472149	B
3D2S	2.759261	B
3DD2	2.262196	B
3MDG	3.042278	B
3NMR	3.117131	B
3O8C	1.70096	B
3PF4	4.091844	B
3QJJ	2.715853	B
3RC8	2.226439	B
4E+078	2.9381	B
4H5P	2.512358	B
4HOR	4.371656	B
4J7M	2.483539	B
4M59	2.145972	B
4MDX	2.024525	B
4N2Q	3.961992	B
4QU6	3.020354	B
5DET	2.920478	B
5ED1	1.861648	B
5EIM	3.595052	B
5ELS	1.856141	B
5EX7	2.744501	B
1G1X	2.960534	B
2OZB	1.601997	B
3A6P	2.145855	B
3IEV	2.047962	B
3ZC0	2.546548	B
5WTK	3.092464	B
5LTA	2.127376	B
5WTY	2.837743	B
5GXH	3.201569	B
5T8Y	1.387221	B
5B63	2.407248	B
5SZE	3.053357	B
5V7C	4.354262	B
5W0M	1.988681	B
5WT1	3.14654	B
5WWX	1.961685	B
5X6B	2.997018	B
5ZQ8	3.28084	B
5ZSC	2.738669	B
5ZW4	2.763101	B
6A4E	1.570325	B
6A6J	3.694156	B
6D12	2.840656	B
6DCB	1.446045	B
6FQ3	2.948338	B
6GC5	4.135066	B
6HAU	4.813223	B
6I0V	2.215611	B
6L1W	3.248066	B
6L5N	2.000822	B
6LLB	1.920382	B
6LT7	2.137257	B
6LVR	3.004067	B
6PZQ	3.170929	B
6R9P	2.862696	B
6RTI	3.292174	B
6SY4	2.70734	B
6U6Y	4.152444	B
6U9X	2.68741	B
6ZOT	2.117831	B
6WXY	2.324742	B
6ZDP	2.442512	B
7C45	3.142523	B
7DOL	2.304214	B
7E8O	1.965668	B
7EIU	4.668883	B
7K5L	3.650019	B
7K98	2.970334	B
7KFN	1.686013	B
7KKV	2.314847	B
7KL3	3.009298	B
7L6T	2.426343	B
7MJW	2.262588	B
7OG0	2.75718	B
7OM6	2.631632	B
7P0V	1.945164	B
7V4G	2.900077	B
7XD8	2.469226	B
7VSJ	3.353411	B
7VKI	3.44046	B
7VKL	1.58604	B
7Y7Q	1.666198	B
8AF0	1.534847	B
8DZK	3.207827	B
8EDJ	3.900692	B
8H1B	2.319939	B
7YSE	2.253895	B
7XWZ	2.896789	B
8AXF	2.550971	B
8JOZ	3.277554	B
7ZLQ	2.652662	B
8TG4	2.064614	B
