Res	Avg.E	Form
1YVP	2.381111	B
1ZBI	2.48531	B
2AZ0	2.302605	B
2BGG	2.586549	B
2EZ6	3.365002	B
2F8S	2.800639	B
2GJW	3.061681	B
2GXB	2.17893	B
2QUX	1.87466	B
2Y8W	1.963962	B
2ZKO	2.783599	B
3BSN	2.490905	B
3EQT	2.49975	B
3FTE	2.48316	B
3KS8	2.036385	B
3MOJ	2.46318	B
3O3I	2.386677	B
3OIJ	2.187979	B
3OL6	2.857622	B
3RW6	2.255979	B
4ERD	2.234343	B
4FVU	2.377633	B
4IG8	3.105309	B
4ILL	2.732729	B
4ZT0	2.662075	B
5F5H	2.54451	B
1AV6	3.166059	B
1C9S	2.498023	B
1CVJ	2.708968	B
1G2E	2.259734	B
1K8W	2.249581	B
1KQ2	2.992482	B
1M5O	2.687357	B
1M8V	2.119593	B
1M8W	2.462359	B
1UVI	2.714171	B
1WPU	2.264528	B
2A8V	2.103186	B
2ASB	1.948389	B
2GIC	2.929419	B
2IX1	2.273473	B
2JEA	2.078879	B
2JLU	2.419288	B
2PY9	2.271309	B
2Q66	2.761753	B
2R7R	2.807971	B
2XGJ	2.637639	B
2XNR	2.662449	B
2XZO	2.567611	B
3AEV	2.401369	B
3BX2	2.370255	B
3D2S	2.633354	B
3DD2	2.435687	B
3MDG	2.797944	B
3NMR	2.439986	B
3O8C	2.342774	B
3PF4	2.325608	B
3QJJ	2.593729	B
3RC8	2.607597	B
4E+078	2.353226	B
4H5P	2.737563	B
4HOR	2.866327	B
4J7M	2.69771	B
4M59	2.825562	B
4MDX	2.111797	B
4N2Q	2.454898	B
4QU6	2.58957	B
5DET	2.497877	B
5ED1	2.527925	B
5EIM	2.246915	B
5ELS	2.89432	B
5EX7	2.737398	B
1G1X	2.446224	B
2OZB	2.421598	B
3A6P	2.662369	B
3IEV	1.971028	B
3ZC0	3.15022	B
5WTK	2.897966	B
5LTA	2.618707	B
5WTY	2.798081	B
5GXH	2.0618	B
5T8Y	2.538097	B
5B63	2.608323	B
5SZE	2.538091	B
5V7C	3.663554	B
5W0M	2.790983	B
5WT1	2.231239	B
5WWX	1.755764	B
5X6B	2.817471	B
5ZQ8	2.381081	B
5ZSC	2.506705	B
5ZW4	2.666374	B
6A4E	2.379363	B
6A6J	2.150664	B
6D12	2.161405	B
6DCB	2.805756	B
6FQ3	2.697898	B
6GC5	2.710167	B
6HAU	2.520297	B
6I0V	3.012887	B
6L1W	2.262612	B
6L5N	2.479437	B
6LLB	2.406847	B
6LT7	1.992512	B
6LVR	2.595761	B
6PZQ	2.407942	B
6R9P	2.616151	B
6RTI	2.929882	B
6SY4	2.657033	B
6U6Y	2.752347	B
6U9X	2.445563	B
6ZOT	2.573144	B
6WXY	3.056702	B
6ZDP	2.890268	B
7C45	2.317572	B
7DOL	2.602	B
7E8O	2.586312	B
7EIU	2.550165	B
7K5L	2.185296	B
7K98	2.053805	B
7KFN	2.595305	B
7KKV	2.319417	B
7KL3	2.918179	B
7L6T	2.512756	B
7MJW	2.509916	B
7OG0	2.658102	B
7OM6	2.571964	B
7P0V	2.359169	B
7V4G	2.279156	B
7XD8	2.414063	B
7VSJ	2.29203	B
7VKI	2.991405	B
7VKL	2.173721	B
7Y7Q	2.713462	B
8AF0	2.498483	B
8DZK	3.217344	B
8EDJ	2.737686	B
8H1B	2.41475	B
7YSE	2.651758	B
7XWZ	2.44691	B
8AXF	2.630783	B
8JOZ	2.466775	B
7ZLQ	2.681789	B
8TG4	1.980021	B
