Res	Avg.E	Form
1K8W	5.129987	B
1KQ2	39.206403	B
1M5O	7.814082	B
1M8V	8.033741	B
1M8W	29.109040	B
1UVI	30.802798	B
1WPU	6.768357	B
2A8V	10.621532	B
2ASB	3.730804	B
2GIC	2.298613	B
2IX1	50.450075	B
2JEA	4.367189	B
2JLU	12.630245	B
2PY9	0.000000	B
2Q66	16.355552	B
2R7R	14.563374	B
2XGJ	3.861393	B
2XNR	10.127787	B
2XZO	18.767065	B
3AEV	2.041868	B
3BX2	28.113883	B
3D2S	4.946160	B
3MDG	8.113934	B
3NMR	5.218490	B
3O8C	7.593224	B
3PF4	9.585038	B
3QJJ	24.655312	B
3RC8	7.199535	B
4E78	25.016345	B
4H5P	33.581736	B
4HOR	32.893025	B
4J7M	4.703375	B
4M59	13.771552	B
4MDX	13.756870	B
4N2Q	7.352960	B
4QU6	3.613026	B
5BUD	9.816990	B
5DET	21.575424	B
5EIM	16.545681	B
5ELS	0.000000	B
5EX7	9.582950	B
1G1X	7.804396	B
2OZB	0.000000	B
3A6P	8.717240	B
3IEV	7.954340	B
3ZC0	9.408467	B
5WTK	60.477954	B
5LTA	11.349811	B
5WTY	25.928764	B
5GXH	29.952084	B
5T8Y	0.000000	B
5B63	20.376233	B
5SZE	3.732513	B
5V7C	15.838505	B
5W0M	13.949997	B
5WT1	35.567415	B
5WWX	2.938844	B
5X6B	8.394245	B
5ZQ8	26.054747	B
5ZSC	5.824094	B
5ZW4	5.252555	B
6A4E	5.019623	B
6A6J	10.640290	B
6DCB	2.662924	B
6FQ3	13.648879	B
6GC5	23.522857	B
6HAU	20.738042	B
6I0V	2.673174	B
6L1W	15.461819	B
6L5N	5.899907	B
6LLB	11.898181	B
6LT7	7.734282	B
6LVR	7.812112	B
6PZQ	9.125311	B
6R9P	13.166793	B
6RTI	9.564715	B
6SY4	6.928219	B
6U6Y	42.670224	B
6U9X	19.243298	B
6ZOT	0.000000	B
6WXY	21.988099	B
6ZDP	10.559124	B
7C45	29.505631	B
7DOL	13.802530	B
7E8O	0.387914	B
7EIU	27.419406	B
7K5L	7.802392	B
7K98	66.568451	B
7KFN	2.732574	B
7KKV	4.576707	B
7KL3	13.320127	B
7L6T	10.577812	B
7MJW	7.633500	B
7OG0	7.292875	B
7OM6	20.495500	B
7P0V	4.281013	B
7V4G	22.595084	B
7XD8	24.662282	B
7VSJ	17.126200	B
7VKI	10.969945	B
7VKL	1.308786	B
7Y7Q	6.662817	B
8AF0	0.000000	B
8DZK	19.482851	B
8EDJ	25.852107	B
8H1B	9.144658	B
7YSE	11.084717	B
7XWZ	9.440888	B
8AXF	54.502626	B
8JOZ	16.727923	B
7ZLQ	1.167054	B
8TG4	8.110436	B
