AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
GLU,-120,150,3,15,0.2,-64.35,174.8,12.25,0.0,8.64,10.13,3.51,0.0
GLU,-120,150,2,15,0.13333333,-47.8,171.09,-30.36,0.0,3.43,4.65,1.16,0.0
GLU,-120,150,3,15,0.2,-60.47,-64.1,-20.06,0.0,2.4,4.52,9.4,0.0
GLU,-90,-30,5,14,0.35714286,-58.42,-176.26,31.81,0.0,12.9,15.37,14.72,0.0
GLU,-90,-30,2,14,0.14285714,-51.81,-70.52,167.41,0.0,0.86,11.31,22.38,0.0
GLU,-90,-30,2,14,0.14285714,-66.24,-82.98,-47.6,0.0,9.97,4.71,9.98,0.0
GLU,-90,0,2,10,0.2,71.64,-86.2,25.1,0.0,8.6,5.31,15.65,0.0
GLU,-90,0,2,10,0.2,-48.82,166.08,-175.76,0.0,3.86,1.72,5.54,0.0
GLU,-90,150,3,14,0.21428571,-60.92,157.08,54.24,0.0,21.66,16.82,3.28,0.0
GLU,-90,150,6,14,0.42857143,-56.75,-173.88,-34.17,0.0,9.68,11.6,14.23,0.0
GLU,-90,150,3,14,0.21428571,-52.08,-69.25,-42.77,0.0,10.19,5.31,7.65,0.0
GLU,-60,-60,4,39,0.1025641,-170.98,60.96,44.71,0.0,10.94,3.83,26.16,0.0
GLU,-60,-60,6,39,0.15384615,-172.28,175.22,24.69,0.0,10.26,12.7,21.04,0.0
GLU,-60,-60,4,39,0.1025641,-176.17,176.71,-166.9,0.0,6.18,12.12,22.27,0.0
GLU,-60,-60,6,39,0.15384615,-171.98,-179.64,-36.82,0.0,14.57,5.82,19.03,0.0
GLU,-60,-60,2,39,0.05128205,-77.88,88.65,14.7,0.0,0.78,0.98,9.66,0.0
GLU,-60,-60,5,39,0.12820513,-71.88,-167.95,40.94,0.0,10.73,16.22,25.99,0.0
GLU,-60,-60,2,39,0.05128205,-65.84,-173.15,-78.25,0.0,7.66,0.48,33.51,0.0
GLU,-60,-60,2,39,0.05128205,-82.36,-91.51,39.21,0.0,8.27,3.57,38.91,0.0
GLU,-60,-60,4,39,0.1025641,-71.34,-67.81,-46.45,0.0,13.91,1.97,23.04,0.0
GLU,-60,-30,3,107,0.02803738,82.23,176.13,65.6,0.0,1.25,9.74,28.94,0.0
GLU,-60,-30,2,107,0.01869159,51.76,-84.72,46.04,0.0,1.82,3.07,2.69,0.0
GLU,-60,-30,7,107,0.06542056,-177.84,78.96,34.58,0.0,8.03,9.15,19.99,0.0
GLU,-60,-30,2,107,0.01869159,177.78,73.07,-169.47,0.0,6.94,7.91,3.12,0.0
GLU,-60,-30,4,107,0.03738318,-174.32,174.05,12.43,0.0,7.28,3.62,5.08,0.0
GLU,-60,-30,6,107,0.05607477,-178.05,-174.92,172.74,0.0,5.64,9.72,15.97,0.0
GLU,-60,-30,10,107,0.09345794,-174.22,179.64,-43.26,0.0,5.39,12.21,19.03,0.0
GLU,-60,-30,5,107,0.04672897,-88.19,82.3,24.45,0.0,30.55,14.79,20.3,0.0
GLU,-60,-30,2,107,0.01869159,-64.67,81.76,176.52,0.0,0.61,3.56,19.47,0.0
GLU,-60,-30,10,107,0.09345794,-64.17,92.06,-20.89,0.0,4.7,4.14,8.33,0.0
GLU,-60,-30,11,107,0.10280374,-64.53,168.21,42.73,0.0,6.96,10.3,25.78,0.0
GLU,-60,-30,3,107,0.02803738,-67.38,167.4,173.99,0.0,2.71,6.55,24.32,0.0
GLU,-60,-30,15,107,0.14018692,-66.1,176.18,-48.62,0.0,4.93,7.66,24.44,0.0
GLU,-60,-30,5,107,0.04672897,-63.99,-90.44,15.88,0.0,3.21,4.9,7.58,0.0
GLU,-60,-30,3,107,0.02803738,-79.76,-60.3,161.58,0.0,6.25,7.29,14.7,0.0
GLU,-60,-30,13,107,0.12149533,-63.56,-61.41,-38.8,0.0,7.21,8.83,19.21,0.0
GLU,-60,0,2,9,0.22222222,-69.71,-89.09,-156.44,0.0,0.8,23.41,36.19,0.0
GLU,-60,120,2,9,0.22222222,176.83,176.9,-55.06,0.0,1.42,2.25,22.96,0.0
GLU,-60,120,2,9,0.22222222,-174.17,-85.62,-27.42,0.0,2.69,3.58,7.36,0.0
GLU,-60,150,2,28,0.07142857,179.58,62.86,21.59,0.0,5.3,2.23,9.76,0.0
GLU,-60,150,5,28,0.17857143,-169.78,-178.34,38.06,0.0,9.69,2.67,23.79,0.0
GLU,-60,150,2,28,0.07142857,178.78,-179.38,-165.72,0.0,0.18,15.42,17.38,0.0
GLU,-60,150,2,28,0.07142857,-178.96,-171.71,-52.04,0.0,7.11,6.55,46.32,0.0
GLU,-60,150,2,28,0.07142857,-63.87,85.02,-10.1,0.0,1.83,1.01,9.74,0.0
GLU,-60,150,3,28,0.10714286,-69.08,-178.11,-25.35,0.0,9.08,2.57,4.15,0.0
GLU,-60,150,2,28,0.07142857,-54.93,-74.95,66.65,0.0,0.29,8.18,52.85,0.0
GLU,-60,150,3,28,0.10714286,-65.66,-67.42,-58.68,0.0,7.4,10.15,2.04,0.0
GLU,60,30,2,9,0.22222222,-50.95,-145.71,56.75,0.0,2.37,20.6,22.85,0.0
GLU,60,30,4,9,0.44444444,-74.94,171.37,177.48,0.0,9.16,13.34,22.83,0.0
GLU,60,30,2,9,0.22222222,-69.23,177.83,-68.55,0.0,8.28,12.12,46.57,0.0
MET,-120,120,2,6,0.33333333,-69.42,-174.05,-162.3,0.0,6.51,0.72,27.83,0.0
MET,-120,120,4,6,0.66666667,-62.64,-163.26,-71.29,0.0,5.87,20.44,7.03,0.0
MET,-120,150,2,8,0.25,-69.34,-171.42,95.58,0.0,8.28,9.29,8.79,0.0
MET,-120,150,2,8,0.25,-49.04,-71.13,-93.2,0.0,2.74,9.16,9.44,0.0
MET,-90,-30,2,3,0.66666667,-61.16,-52.12,-79.96,0.0,3.61,13.49,4.49,0.0
MET,-90,120,2,8,0.25,179.04,-176.78,-69.55,0.0,3.93,2.65,5.24,0.0
MET,-90,120,3,8,0.375,-74.77,-67.15,-69.65,0.0,12.61,12.13,2.98,0.0
MET,-90,150,2,7,0.28571429,-63.79,-178.47,82.11,0.0,0.69,0.25,3.12,0.0
MET,-90,150,2,7,0.28571429,-70.57,-64.62,-73.22,0.0,3.94,4.54,0.41,0.0
MET,-60,-60,3,14,0.21428571,-70.97,177.73,65.74,0.0,1.91,8.07,4.74,0.0
MET,-60,-60,3,14,0.21428571,-77.16,179.52,-73.04,0.0,11.39,4.73,17.84,0.0
MET,-60,-30,2,35,0.05714286,-172.94,71.85,69.63,0.0,5.39,8.79,6.24,0.0
MET,-60,-30,6,35,0.17142857,-173.43,173.09,-66.95,0.0,5.89,7.03,18.14,0.0
MET,-60,-30,10,35,0.28571429,-72.92,174.86,56.24,0.0,5.89,8.56,9.91,0.0
MET,-60,-30,3,35,0.08571429,-65.36,-176.33,-177.26,0.0,8.1,11.0,4.86,0.0
MET,-60,-30,2,35,0.05714286,-73.57,-168.51,-57.45,0.0,4.82,1.64,19.81,0.0
MET,-60,-30,6,35,0.17142857,-67.12,-65.44,98.78,0.0,3.37,16.71,8.44,0.0
MET,-60,-30,3,35,0.08571429,-60.04,-53.91,-71.4,0.0,1.55,3.16,5.13,0.0
MET,-60,0,2,3,0.66666667,-76.81,-74.42,-72.27,0.0,3.39,3.15,4.04,0.0
MET,-60,150,2,5,0.4,-78.75,177.71,-171.53,0.0,9.51,4.86,9.86,0.0
ASN,-180,-180,3,3,1.0,48.18,48.15,0.0,0.0,8.57,2.86,0.0,0.0
ASN,-150,-180,2,3,0.66666667,60.78,61.43,0.0,0.0,0.44,0.25,0.0,0.0
ASN,-150,30,2,4,0.5,-152.11,38.24,0.0,0.0,5.08,14.6,0.0,0.0
ASN,-150,30,2,4,0.5,-87.86,-55.04,0.0,0.0,2.46,6.61,0.0,0.0
ASN,-150,90,2,6,0.33333333,176.67,29.62,0.0,0.0,6.13,7.78,0.0,0.0
ASN,-150,90,4,6,0.66666667,-172.96,-28.94,0.0,0.0,2.62,17.82,0.0,0.0
ASN,-150,120,4,6,0.66666667,-168.94,-43.32,0.0,0.0,7.82,9.04,0.0,0.0
ASN,-150,150,3,9,0.33333333,68.26,79.22,0.0,0.0,11.2,7.93,0.0,0.0
ASN,-150,150,2,9,0.22222222,60.11,-83.86,0.0,0.0,4.38,25.53,0.0,0.0
ASN,-150,150,3,9,0.33333333,-176.01,59.79,0.0,0.0,8.9,27.19,0.0,0.0
ASN,-120,0,2,6,0.33333333,-90.21,-31.52,0.0,0.0,14.07,6.55,0.0,0.0
ASN,-120,30,2,13,0.15384615,66.3,-13.32,0.0,0.0,0.93,2.81,0.0,0.0
ASN,-120,30,5,13,0.38461538,-159.56,29.71,0.0,0.0,5.97,10.25,0.0,0.0
ASN,-120,30,3,13,0.23076923,-73.5,-54.84,0.0,0.0,4.38,19.59,0.0,0.0
ASN,-120,90,2,10,0.2,-143.46,31.46,0.0,0.0,19.79,16.51,0.0,0.0
ASN,-120,90,2,10,0.2,-173.27,-149.25,0.0,0.0,12.48,11.96,0.0,0.0
ASN,-120,90,5,10,0.5,-168.52,-23.58,0.0,0.0,3.76,23.94,0.0,0.0
