AA,PHI,PSI,_Count,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,-120,-180,2,33,0.06060606,-53.82,171.34,-179.29,170.46,8.78,9.41,2.16,4.94
ARG,-120,-180,2,33,0.06060606,-63.93,-178.91,-47.02,88.25,0.3,1.28,10.76,20.07
ARG,-120,-180,3,33,0.09090909,-70.78,178.58,-52.2,-155.3,1.47,6.21,8.11,8.91
ARG,-120,-150,2,3,0.66666667,-72.64,153.73,-84.36,-170.56,2.23,2.45,2.48,9.03
ARG,-120,-30,2,31,0.06451613,173.52,73.56,-176.46,140.07,0.0,0.0,0.0,0.0
ARG,-120,-30,2,31,0.06451613,-167.58,171.88,-171.02,171.14,0.58,8.57,11.78,35.06
ARG,-120,-30,4,31,0.12903226,-65.38,179.09,-177.1,173.27,7.0,5.87,3.35,8.72
ARG,-120,-30,2,31,0.06451613,-56.51,177.59,-167.21,-78.17,12.79,1.77,13.68,4.19
ARG,-120,-30,2,31,0.06451613,-70.48,-166.59,-82.98,-175.9,4.73,2.46,22.7,10.23
ARG,-120,-30,2,31,0.06451613,-60.56,-176.6,-55.49,-80.95,20.63,24.18,22.7,9.57
ARG,-120,-30,4,31,0.12903226,-67.59,-57.87,172.96,-166.19,5.78,4.06,23.24,40.15
ARG,-120,-30,2,31,0.06451613,-64.63,-54.92,-48.5,-84.73,4.38,5.54,3.22,1.08
ARG,-120,0,3,57,0.05263158,41.08,176.48,-144.28,-174.6,22.77,12.56,0.03,21.68
ARG,-120,0,2,57,0.03508772,-160.91,86.96,149.56,66.97,0.9,6.55,0.55,1.33
ARG,-120,0,6,57,0.10526316,-59.02,-178.29,61.35,78.85,3.29,3.78,6.59,2.09
ARG,-120,0,8,57,0.14035088,-61.59,-166.53,65.42,-158.54,7.95,17.36,2.99,16.63
ARG,-120,0,2,57,0.03508772,-69.43,175.54,169.81,81.81,0.42,8.82,5.08,0.78
ARG,-120,0,9,57,0.15789474,-60.04,175.86,-178.96,177.65,4.04,7.83,10.15,8.19
ARG,-120,0,5,57,0.0877193,-63.71,172.9,-176.3,-90.33,4.08,7.44,4.68,8.73
ARG,-120,0,7,57,0.12280702,-65.51,178.62,-59.08,-91.36,6.88,11.76,6.71,12.94
ARG,-120,0,3,57,0.05263158,-60.22,-76.21,-69.18,171.23,8.22,5.98,11.66,2.96
ARG,-120,0,2,57,0.03508772,-58.98,-57.49,-65.77,-81.54,1.76,1.39,2.94,14.82
ARG,-120,30,2,44,0.04545455,55.98,-155.75,-163.85,145.87,16.28,10.12,9.09,21.26
ARG,-120,30,2,44,0.04545455,57.25,-165.35,-160.51,-85.95,0.03,2.34,4.09,1.33
ARG,-120,30,2,44,0.04545455,37.16,-170.21,-61.95,166.77,14.94,19.96,2.02,23.05
ARG,-120,30,3,44,0.06818182,-66.01,-141.16,103.63,110.13,2.62,12.1,16.94,16.03
ARG,-120,30,6,44,0.13636364,-68.84,167.22,48.54,-154.53,6.34,6.11,13.23,17.01
ARG,-120,30,3,44,0.06818182,-61.1,178.65,-178.31,85.89,10.83,8.33,32.56,0.57
ARG,-120,30,3,44,0.06818182,-77.55,161.95,176.45,-177.16,11.89,7.46,17.88,8.02
ARG,-120,30,5,44,0.11363636,-54.62,-161.73,-75.07,168.6,14.38,10.42,9.83,33.11
ARG,-120,30,4,44,0.09090909,-47.19,-157.36,-50.24,-66.6,2.89,8.68,12.01,4.65
ARG,-120,30,4,44,0.09090909,-61.43,-86.39,-169.72,-102.76,0.49,17.72,7.79,16.67
ARG,-120,60,2,26,0.07692308,78.83,-70.64,-54.69,162.05,0.0,0.0,49.43,4.76
ARG,-120,60,2,26,0.07692308,-179.36,169.87,-70.36,155.1,0.0,0.0,33.76,11.7
ARG,-120,60,4,26,0.15384615,-64.18,-173.74,67.49,79.98,8.89,11.4,4.7,7.68
ARG,-120,60,2,26,0.07692308,-72.67,172.47,72.4,124.78,0.0,0.0,0.0,0.0
ARG,-120,60,2,26,0.07692308,-63.95,-173.49,176.7,-166.35,0.03,3.32,0.99,2.38
ARG,-120,60,2,26,0.07692308,-53.58,-68.8,72.01,79.99,0.0,0.0,0.0,0.0
ARG,-120,60,6,26,0.23076923,-65.74,-60.46,-57.0,-78.63,3.11,2.88,1.21,5.01
ARG,-120,90,3,13,0.23076923,-49.52,172.74,170.79,-176.8,4.32,9.52,4.99,5.19
ARG,-120,120,2,179,0.01117318,62.69,169.38,73.08,-153.49,0.02,0.0,0.02,0.01
ARG,-120,120,2,179,0.01117318,65.65,-169.22,-63.58,-90.0,2.64,3.56,4.08,27.54
ARG,-120,120,2,179,0.01117318,177.03,54.68,166.07,81.66,3.35,9.18,8.2,4.54
ARG,-120,120,5,179,0.02793296,-178.37,64.43,172.27,156.72,4.05,9.5,7.88,5.81
ARG,-120,120,2,179,0.01117318,-159.3,72.07,175.0,-91.2,14.96,0.45,7.29,9.06
ARG,-120,120,11,179,0.06145251,178.77,171.37,62.78,75.88,6.26,7.71,7.12,10.93
ARG,-120,120,10,179,0.05586592,-175.24,164.63,65.55,-160.89,6.29,11.75,11.94,19.05
ARG,-120,120,6,179,0.03351955,177.78,173.81,64.52,-104.38,6.89,7.13,7.24,6.47
ARG,-120,120,3,179,0.01675978,-172.06,174.05,-171.55,85.5,8.4,9.89,17.07,10.08
ARG,-120,120,13,179,0.0726257,-177.31,-179.21,-175.4,166.79,6.46,11.22,11.57,15.57
ARG,-120,120,7,179,0.03910615,179.19,179.51,174.3,-95.81,25.72,5.55,13.06,6.43
ARG,-120,120,8,179,0.04469274,-179.68,-179.12,-81.5,107.24,4.38,7.14,16.25,4.85
ARG,-120,120,12,179,0.06703911,177.55,-179.25,-68.44,171.39,5.75,7.61,5.02,20.44
ARG,-120,120,13,179,0.0726257,-175.25,178.41,-67.38,-82.99,7.97,8.26,8.7,5.97
ARG,-120,120,2,179,0.01117318,-137.61,-89.27,-77.0,-67.08,6.68,8.61,13.21,20.94
ARG,-120,120,2,179,0.01117318,-86.72,77.3,154.56,88.92,1.21,17.56,4.91,11.97
ARG,-120,120,6,179,0.03351955,-65.12,175.5,73.12,89.17,6.03,10.04,15.04,5.58
ARG,-120,120,13,179,0.0726257,-68.37,176.75,67.96,-173.45,7.33,11.9,6.08,13.84
ARG,-120,120,5,179,0.02793296,-74.2,-171.89,-178.62,97.87,6.79,10.62,9.91,7.43
ARG,-120,120,17,179,0.09497207,-66.22,-178.03,177.64,178.01,6.25,10.6,8.01,10.81
ARG,-120,120,6,179,0.03351955,-63.7,173.21,-178.14,-90.56,6.36,10.25,6.78,6.17
ARG,-120,120,5,179,0.02793296,-84.59,-164.04,-77.85,169.03,21.36,25.22,9.59,22.17
ARG,-120,120,2,179,0.01117318,-56.01,-165.66,-57.65,-82.27,21.03,4.95,23.67,6.85
ARG,-120,120,2,179,0.01117318,-70.15,-73.96,157.81,-179.88,2.1,6.45,13.12,8.41
ARG,-120,120,8,179,0.04469274,-66.37,-68.95,-177.22,-86.5,2.26,8.35,2.81,5.41
ARG,-120,120,3,179,0.01675978,-47.97,-57.59,-72.07,172.35,16.75,4.04,16.11,26.88
ARG,-120,120,3,179,0.01675978,-58.16,-71.24,-69.58,-82.98,4.63,2.18,4.87,2.96
ARG,-120,150,3,184,0.01630435,52.52,-168.23,58.15,177.94,20.81,15.37,4.82,12.77
