AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
LYS,-120,0,4,63,0.06349206,-56.43,-59.15,-69.94,-179.02,4.28,6.47,10.08,1.89
LYS,-120,30,2,40,0.05,58.59,178.39,-177.03,175.57,4.06,3.97,3.53,9.11
LYS,-120,30,5,40,0.125,-68.46,166.59,69.83,157.8,6.75,17.02,8.01,22.06
LYS,-120,30,13,40,0.325,-64.16,-179.55,177.36,-179.22,3.72,6.39,4.44,4.96
LYS,-120,30,2,40,0.05,-62.7,-61.37,-170.37,53.34,14.41,7.64,2.08,3.01
LYS,-120,30,4,40,0.1,-64.47,-58.49,176.73,173.56,6.14,7.33,5.97,10.86
LYS,-120,60,2,18,0.11111111,-155.03,178.67,178.54,-175.07,11.22,1.78,3.17,5.68
LYS,-120,60,2,18,0.11111111,-73.64,168.78,153.38,72.72,7.07,13.4,13.83,4.4
LYS,-120,60,5,18,0.27777778,-60.63,178.51,-177.5,170.8,4.57,6.49,6.49,5.04
LYS,-120,60,2,18,0.11111111,-47.84,-73.44,179.82,83.76,0.45,0.06,0.2,0.06
LYS,-120,90,4,34,0.11764706,-169.24,68.95,-173.45,-177.01,10.61,9.43,17.49,4.99
LYS,-120,90,2,34,0.05882353,-169.91,161.12,-175.85,170.82,0.7,23.04,7.89,4.14
LYS,-120,90,2,34,0.05882353,-89.84,89.87,-167.56,179.95,15.28,1.56,2.75,13.92
LYS,-120,90,2,34,0.05882353,-97.2,70.72,167.97,-71.01,5.17,8.67,17.7,12.96
LYS,-120,90,3,34,0.08823529,-66.38,-134.37,62.14,166.54,4.69,36.6,15.53,28.31
LYS,-120,90,2,34,0.05882353,-75.74,-164.25,163.88,53.91,8.25,8.0,2.75,1.8
LYS,-120,90,7,34,0.20588235,-57.66,-177.08,177.31,176.02,5.94,8.02,5.5,13.7
LYS,-120,90,3,34,0.08823529,-67.82,-67.71,159.76,-166.03,2.25,8.29,12.79,15.37
LYS,-120,120,5,157,0.03184713,-173.76,69.01,-178.49,-175.33,16.45,5.67,7.26,13.67
LYS,-120,120,3,157,0.01910828,176.97,71.83,-169.8,-68.26,5.28,10.84,10.11,8.9
LYS,-120,120,2,157,0.01273885,-163.17,144.05,61.66,89.55,25.52,20.79,14.07,17.39
LYS,-120,120,9,157,0.05732484,-178.53,168.98,71.12,167.35,11.73,5.07,7.51,16.07
LYS,-120,120,7,157,0.04458599,179.32,-166.98,172.04,67.99,6.15,17.15,16.15,14.1
LYS,-120,120,35,157,0.22292994,-176.9,179.64,177.8,-177.01,7.3,10.14,9.04,10.34
LYS,-120,120,8,157,0.05095541,-179.1,170.76,174.39,-69.82,7.67,13.4,17.67,9.3
LYS,-120,120,13,157,0.08280255,-171.05,-161.3,-63.03,-179.29,7.8,12.16,5.56,9.41
LYS,-120,120,3,157,0.01910828,168.77,-172.07,-80.97,-65.51,16.32,17.89,13.19,4.51
LYS,-120,120,2,157,0.01273885,-173.35,-104.23,-173.27,82.41,2.32,12.14,6.92,8.53
LYS,-120,120,2,157,0.01273885,-108.25,107.07,-176.86,41.27,0.01,0.01,0.02,0.01
LYS,-120,120,4,157,0.02547771,-53.62,-175.78,73.29,78.07,4.38,11.25,10.39,14.87
LYS,-120,120,3,157,0.01910828,-69.69,170.39,61.22,174.7,5.0,4.87,4.38,6.36
LYS,-120,120,9,157,0.05732484,-69.5,-173.98,-175.45,60.84,7.78,16.04,17.55,8.61
LYS,-120,120,17,157,0.10828025,-63.64,-179.74,-174.92,-178.49,9.33,8.62,13.17,9.52
LYS,-120,120,4,157,0.02547771,-63.42,167.12,176.19,-75.05,14.19,12.76,19.43,15.84
LYS,-120,120,5,157,0.03184713,-65.92,176.95,-70.11,-176.3,10.63,12.89,5.55,7.82
LYS,-120,120,2,157,0.01273885,-80.57,-161.16,-66.03,-48.9,28.64,20.37,8.26,2.38
LYS,-120,120,4,157,0.02547771,-75.29,-67.29,178.32,66.88,10.48,11.55,7.28,8.08
LYS,-120,120,5,157,0.03184713,-66.44,-60.88,-176.05,173.93,3.39,9.95,3.92,8.64
LYS,-120,120,3,157,0.01910828,-60.55,-68.34,-172.09,-56.1,5.05,5.0,11.9,12.37
