AA,PHI,PSI,_Count,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,-60,150,5,121,0.04132231,-65.44,-171.73,-69.85,-91.11,10.45,12.24,16.87,10.14
ARG,-60,150,3,121,0.02479339,-69.05,-69.49,-172.82,175.27,3.84,7.19,5.43,16.46
ARG,-60,150,3,121,0.02479339,-59.68,-72.65,-69.93,106.13,1.56,17.59,3.49,4.78
ARG,-60,150,2,121,0.01652893,-59.72,-65.05,-48.52,179.63,12.05,10.12,11.92,12.82
ARG,-30,-60,3,29,0.10344828,177.73,54.31,179.05,176.26,7.08,5.12,4.17,10.72
ARG,-30,-60,2,29,0.06896552,-172.35,70.25,-106.14,155.76,0.21,1.54,0.26,0.68
ARG,-30,-60,3,29,0.10344828,-171.7,149.15,53.13,-147.91,4.74,9.29,2.84,6.17
ARG,-30,-60,5,29,0.17241379,-178.38,162.66,-169.43,-178.69,10.35,15.5,11.89,12.73
ARG,-30,-60,2,29,0.06896552,-131.81,-43.72,110.35,-152.35,1.35,0.05,0.18,0.48
ARG,-30,-60,2,29,0.06896552,-58.03,-176.39,55.99,112.23,3.64,0.02,8.05,4.32
ARG,-30,-60,2,29,0.06896552,-45.58,-167.87,164.52,-173.47,14.53,5.06,15.1,0.53
ARG,-30,-60,2,29,0.06896552,-78.72,-152.38,-77.7,87.5,3.66,17.41,4.83,14.06
ARG,-30,-30,3,14,0.21428571,-168.28,-169.52,-173.14,177.14,7.37,19.33,5.24,12.27
ARG,-30,-30,2,14,0.14285714,-44.93,-165.0,166.22,-172.3,17.01,33.19,1.66,11.88
ARG,-30,-30,2,14,0.14285714,-91.17,-72.98,175.86,179.93,6.87,8.87,20.9,9.64
ARG,0,-30,2,2,1.0,47.96,-159.1,26.02,171.81,0.0,0.0,0.0,0.0
ARG,30,-60,2,4,0.5,-124.83,45.81,-151.45,74.88,0.86,0.87,0.42,0.16
ARG,30,-60,2,4,0.5,-76.92,-170.67,167.07,85.87,0.0,0.01,0.0,0.0
ARG,30,60,2,7,0.28571429,-61.18,-129.73,158.29,136.04,0.0,0.0,0.0,0.0
ARG,60,-90,2,3,0.66666667,-147.57,81.17,-168.22,85.72,0.53,1.2,1.3,0.2
ARG,60,30,2,32,0.0625,-173.87,66.54,-179.11,-176.03,19.25,5.1,8.31,6.55
ARG,60,30,2,32,0.0625,-150.45,171.53,64.5,87.51,0.0,0.0,0.0,0.0
ARG,60,30,3,32,0.09375,-59.37,-169.86,62.11,-148.4,7.74,10.09,14.57,3.0
ARG,60,30,3,32,0.09375,-64.51,-167.32,162.63,78.45,4.56,4.87,14.26,20.41
ARG,60,30,3,32,0.09375,-64.3,-179.86,178.23,-172.26,4.72,3.41,8.1,5.4
ARG,60,30,3,32,0.09375,-56.51,-176.49,-164.48,-77.05,3.75,4.76,5.03,6.87
ARG,60,30,2,32,0.0625,-63.16,170.76,-60.38,178.08,5.19,4.5,6.73,18.22
ARG,60,30,2,32,0.0625,-55.83,-77.09,167.04,93.19,17.24,11.31,25.65,10.07
ARG,60,30,4,32,0.125,-58.41,-77.64,-170.92,-84.43,4.92,6.9,8.73,7.46
ARG,60,30,2,32,0.0625,-63.59,-70.8,-69.26,167.78,8.66,13.45,11.56,11.95
ARG,60,60,2,16,0.125,-78.47,175.75,68.22,74.56,0.0,0.0,0.0,0.0
ARG,60,60,4,16,0.25,-53.58,-177.79,70.48,-169.48,13.21,6.06,9.85,12.34
ARG,60,60,2,16,0.125,-97.14,156.09,-170.51,153.51,19.82,33.05,2.73,3.39
ARG,60,60,4,16,0.25,-71.5,178.11,-68.06,162.25,6.02,28.59,1.54,15.26
LYS,-180,0,2,2,1.0,-71.34,-172.23,50.0,48.62,0.01,0.0,0.01,0.01
LYS,-180,120,2,4,0.5,175.2,-164.85,-170.05,86.28,5.43,7.93,4.29,9.17
LYS,-180,150,3,9,0.33333333,64.21,175.15,165.82,-178.02,3.67,5.81,18.84,17.64
LYS,-180,150,2,9,0.22222222,54.19,158.61,174.73,-69.66,6.61,14.81,5.71,1.87
LYS,-180,150,2,9,0.22222222,-156.2,-173.77,-153.01,-96.04,6.75,5.72,3.37,1.34
LYS,-150,-180,2,19,0.10526316,59.73,160.19,60.39,170.47,0.02,0.01,0.0,0.0
LYS,-150,-180,6,19,0.31578947,63.78,176.53,177.24,174.91,6.12,2.46,7.11,4.46
LYS,-150,-180,3,19,0.15789474,55.09,170.44,-41.69,-175.63,6.41,10.64,12.56,9.42
LYS,-150,-180,3,19,0.15789474,-71.24,-154.68,174.24,69.98,9.6,16.59,14.8,11.85
LYS,-150,-150,2,2,1.0,-146.5,136.1,67.94,178.97,0.0,0.0,0.0,0.0
LYS,-150,0,2,5,0.4,-54.26,173.93,-171.47,167.84,8.15,8.42,0.31,0.0
LYS,-150,60,2,6,0.33333333,-66.23,-67.64,-169.66,176.44,0.02,0.01,0.0,0.0
LYS,-150,90,2,8,0.25,-118.74,-65.13,-167.38,61.82,0.02,0.0,0.0,0.0
LYS,-150,120,2,42,0.04761905,-168.77,54.03,158.16,168.17,2.83,19.04,11.96,8.86
LYS,-150,120,8,42,0.19047619,-178.54,176.54,-177.99,55.22,4.16,6.55,5.43,10.14
LYS,-150,120,10,42,0.23809524,-174.45,174.28,173.77,179.37,6.27,7.22,9.76,8.58
LYS,-150,120,4,42,0.0952381,-177.01,176.94,-179.48,-51.57,3.21,7.22,7.7,5.25
LYS,-150,120,2,42,0.04761905,-177.15,-162.11,-48.56,166.48,6.23,10.44,24.88,6.75
LYS,-150,120,2,42,0.04761905,-72.7,-163.06,168.35,59.27,6.81,9.31,12.09,0.77
LYS,-150,120,6,42,0.14285714,-62.8,172.99,-177.34,174.26,11.42,7.19,5.45,11.48
LYS,-150,150,3,87,0.03448276,44.95,158.04,57.54,-176.12,9.33,14.18,2.76,3.86
LYS,-150,150,2,87,0.02298851,40.27,-168.13,-160.82,68.52,13.28,3.49,8.83,2.04
LYS,-150,150,20,87,0.22988506,65.55,179.01,-178.91,174.95,5.06,9.86,7.04,9.04
LYS,-150,150,4,87,0.04597701,63.08,-169.01,-173.5,-59.7,5.3,8.79,13.25,4.7
LYS,-150,150,5,87,0.05747126,55.78,-173.37,-71.25,179.56,6.12,4.04,20.24,14.75
LYS,-150,150,2,87,0.02298851,46.72,-92.76,-172.62,175.44,13.53,4.86,4.69,0.33
LYS,-150,150,2,87,0.02298851,170.89,83.69,171.2,-174.63,9.05,1.02,2.07,5.98
LYS,-150,150,3,87,0.03448276,-177.92,159.85,63.43,-178.96,2.16,13.7,8.15,5.27
LYS,-150,150,3,87,0.03448276,-174.04,175.46,-176.27,72.25,3.12,4.24,15.63,2.3
LYS,-150,150,6,87,0.06896552,-169.07,174.7,-179.41,-178.26,9.79,11.57,7.55,11.12
LYS,-150,150,4,87,0.04597701,-173.39,164.81,178.69,-73.99,11.98,15.26,19.62,11.81
LYS,-150,150,2,87,0.02298851,-64.66,-179.83,164.16,53.05,9.56,3.15,16.63,7.69
LYS,-150,150,9,87,0.10344828,-68.25,177.03,-177.26,179.88,16.32,9.4,5.0,11.68
LYS,-150,150,2,87,0.02298851,-46.11,-169.46,-77.9,-87.64,3.04,11.81,4.6,29.8
LYS,-150,150,2,87,0.02298851,-57.45,-65.49,171.56,55.88,5.81,0.86,5.15,2.29
LYS,-150,150,4,87,0.04597701,-65.36,-75.22,-179.23,178.87,3.8,8.43,8.3,6.6
LYS,-150,150,2,87,0.02298851,-66.55,-84.48,-68.88,-164.58,0.78,10.34,3.28,2.62
LYS,-120,-180,3,31,0.09677419,-66.8,-178.26,75.37,54.56,0.07,2.32,12.88,9.12
LYS,-120,-180,12,31,0.38709677,-63.91,-178.99,177.92,-179.56,1.92,6.19,5.83,6.65
LYS,-120,-180,2,31,0.06451613,-46.21,-160.66,-75.32,141.63,9.23,36.76,2.26,0.6
LYS,-120,-180,2,31,0.06451613,-60.85,-72.3,-179.85,62.69,9.42,0.22,10.08,5.81
LYS,-120,-180,3,31,0.09677419,-62.57,-65.09,-173.69,-64.57,2.5,5.6,3.33,6.28
LYS,-120,-180,2,31,0.06451613,-60.12,-71.18,-78.31,-175.41,16.89,12.7,7.11,0.03
LYS,-120,-60,3,12,0.25,-173.11,174.18,-176.2,179.53,7.17,15.97,3.38,11.07
LYS,-120,-60,2,12,0.16666667,-170.03,173.53,-140.29,-82.9,0.94,7.0,2.48,17.84
LYS,-120,-30,2,56,0.03571429,49.48,-162.64,-51.88,-172.94,22.98,1.86,12.38,12.03
LYS,-120,-30,2,56,0.03571429,-166.11,77.86,153.7,179.08,5.23,36.7,18.89,12.67
LYS,-120,-30,3,56,0.05357143,-160.85,-173.55,-178.24,68.12,19.07,8.4,5.97,10.8
LYS,-120,-30,4,56,0.07142857,-176.43,170.73,-71.28,-175.63,12.45,2.12,1.52,5.14
LYS,-120,-30,2,56,0.03571429,-85.95,90.17,-175.84,173.0,0.21,28.99,4.2,8.34
LYS,-120,-30,2,56,0.03571429,-68.66,161.36,86.77,175.07,5.91,7.34,11.21,7.79
LYS,-120,-30,5,56,0.08928571,-65.85,-178.23,171.25,69.81,7.36,7.49,8.54,11.08
LYS,-120,-30,5,56,0.08928571,-60.59,-179.88,177.34,-171.64,9.23,2.41,6.84,8.65
LYS,-120,-30,5,56,0.08928571,-69.93,178.17,-179.64,-58.26,7.69,10.4,8.36,6.06
LYS,-120,-30,5,56,0.08928571,-67.67,-171.93,-82.37,-165.07,8.02,9.57,15.34,6.94
LYS,-120,-30,3,56,0.05357143,-54.28,-86.73,175.38,65.19,8.12,17.29,20.12,2.25
LYS,-120,-30,5,56,0.08928571,-57.73,-69.28,-177.3,-168.62,6.51,4.77,11.32,11.2
LYS,-120,-30,3,56,0.05357143,-64.71,-64.53,-167.71,-59.91,0.73,1.13,6.89,2.62
LYS,-120,-30,2,56,0.03571429,-68.28,-65.31,-103.35,58.02,0.0,0.0,0.0,0.0
LYS,-120,0,2,44,0.04545455,47.86,-165.84,-162.38,-173.44,28.55,13.88,29.55,7.85
LYS,-120,0,2,44,0.04545455,-87.56,64.74,164.51,-48.33,15.63,35.47,12.84,36.0
LYS,-120,0,2,44,0.04545455,-60.44,167.88,69.84,-169.96,17.38,9.18,8.7,18.71
