AA,PHI,PSI,_Count,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ILE,-90,120,2,30,0.06666667,-174.04,168.0,0.0,0.0,9.1,1.69,0.0,0.0
ILE,-90,120,2,30,0.06666667,-76.15,82.67,0.0,0.0,14.05,6.81,0.0,0.0
ILE,-90,120,18,30,0.6,-60.54,176.78,0.0,0.0,4.95,5.19,0.0,0.0
ILE,-90,120,8,30,0.26666667,-58.07,-61.15,0.0,0.0,3.9,7.54,0.0,0.0
ILE,-90,150,2,11,0.18181818,-169.12,62.51,0.0,0.0,0.02,0.0,0.0,0.0
ILE,-90,150,5,11,0.45454545,-62.62,168.76,0.0,0.0,1.98,6.85,0.0,0.0
ILE,-90,150,2,11,0.18181818,-61.04,-57.18,0.0,0.0,0.43,0.04,0.0,0.0
ILE,-60,-60,30,39,0.76923077,-67.13,171.82,0.0,0.0,3.82,5.14,0.0,0.0
ILE,-60,-60,8,39,0.20512821,-60.37,-57.56,0.0,0.0,8.78,9.82,0.0,0.0
ILE,-60,-30,5,76,0.06578947,68.11,175.05,0.0,0.0,6.37,9.48,0.0,0.0
ILE,-60,-30,11,76,0.14473684,-166.3,68.61,0.0,0.0,7.73,7.6,0.0,0.0
ILE,-60,-30,7,76,0.09210526,-170.96,168.39,0.0,0.0,4.63,11.22,0.0,0.0
ILE,-60,-30,5,76,0.06578947,-44.82,76.65,0.0,0.0,25.04,21.13,0.0,0.0
ILE,-60,-30,37,76,0.48684211,-70.66,172.33,0.0,0.0,4.69,6.84,0.0,0.0
ILE,-60,-30,10,76,0.13157895,-61.58,-61.17,0.0,0.0,4.42,6.85,0.0,0.0
ILE,-60,0,2,2,1.0,67.16,172.9,0.0,0.0,1.0,0.99,0.0,0.0
ILE,-60,120,3,13,0.23076923,-80.44,79.14,0.0,0.0,3.27,4.96,0.0,0.0
ILE,-60,120,6,13,0.46153846,-67.03,178.63,0.0,0.0,3.39,12.27,0.0,0.0
ILE,-60,120,4,13,0.30769231,-63.81,-67.21,0.0,0.0,3.21,9.28,0.0,0.0
LEU,-150,-180,2,3,0.66666667,56.71,74.54,0.0,0.0,1.83,11.09,0.0,0.0
LEU,-150,120,5,8,0.625,-173.98,61.78,0.0,0.0,4.18,3.99,0.0,0.0
LEU,-150,120,2,8,0.25,-116.82,54.73,0.0,0.0,1.32,1.48,0.0,0.0
LEU,-150,150,2,11,0.18181818,68.94,95.1,0.0,0.0,1.32,20.39,0.0,0.0
LEU,-150,150,2,11,0.18181818,-151.39,72.9,0.0,0.0,27.3,5.24,0.0,0.0
LEU,-150,150,6,11,0.54545455,-66.89,170.71,0.0,0.0,4.99,1.75,0.0,0.0
LEU,-120,-180,2,2,1.0,-59.86,173.57,0.0,0.0,1.5,3.95,0.0,0.0
LEU,-120,-30,2,2,1.0,-61.6,177.91,0.0,0.0,5.69,4.64,0.0,0.0
LEU,-120,0,5,6,0.83333333,-61.74,-179.42,0.0,0.0,7.76,5.23,0.0,0.0
LEU,-120,30,3,3,1.0,-60.57,176.38,0.0,0.0,3.31,3.58,0.0,0.0
LEU,-120,120,5,16,0.3125,179.21,66.18,0.0,0.0,4.75,3.58,0.0,0.0
LEU,-120,120,4,16,0.25,-84.97,60.99,0.0,0.0,7.9,1.93,0.0,0.0
LEU,-120,120,6,16,0.375,-69.72,179.83,0.0,0.0,10.82,11.91,0.0,0.0
LEU,-120,150,19,22,0.86363636,-63.68,175.99,0.0,0.0,4.93,5.42,0.0,0.0
LEU,-90,-180,4,4,1.0,-56.63,178.88,0.0,0.0,4.57,1.9,0.0,0.0
LEU,-90,-30,3,14,0.21428571,-168.07,60.44,0.0,0.0,18.1,16.7,0.0,0.0
LEU,-90,-30,2,14,0.14285714,-90.97,20.73,0.0,0.0,4.52,11.39,0.0,0.0
LEU,-90,-30,9,14,0.64285714,-63.65,172.54,0.0,0.0,4.95,3.29,0.0,0.0
LEU,-90,0,4,26,0.15384615,-87.33,50.09,0.0,0.0,22.77,13.77,0.0,0.0
LEU,-90,0,19,26,0.73076923,-61.18,178.59,0.0,0.0,6.7,7.47,0.0,0.0
LEU,-90,0,2,26,0.07692308,-72.63,-40.37,0.0,0.0,6.06,8.54,0.0,0.0
LEU,-90,30,2,2,1.0,-62.09,163.45,0.0,0.0,3.22,13.11,0.0,0.0
LEU,-90,90,2,7,0.28571429,-72.72,73.94,0.0,0.0,0.0,0.01,0.0,0.0
LEU,-90,90,5,7,0.71428571,-70.84,171.28,0.0,0.0,14.98,8.16,0.0,0.0
LEU,-90,120,6,19,0.31578947,176.7,68.22,0.0,0.0,8.95,5.8,0.0,0.0
LEU,-90,120,2,19,0.10526316,178.26,135.16,0.0,0.0,7.34,10.76,0.0,0.0
LEU,-90,120,10,19,0.52631579,-68.05,177.34,0.0,0.0,8.27,6.06,0.0,0.0
LEU,-90,150,3,33,0.09090909,-175.68,65.78,0.0,0.0,16.3,8.03,0.0,0.0
LEU,-90,150,2,33,0.06060606,-83.03,68.78,0.0,0.0,2.02,4.7,0.0,0.0
LEU,-90,150,27,33,0.81818182,-61.26,174.68,0.0,0.0,5.2,7.44,0.0,0.0
LEU,-60,-60,13,21,0.61904762,179.22,62.46,0.0,0.0,5.62,4.44,0.0,0.0
LEU,-60,-60,7,21,0.33333333,-66.94,175.82,0.0,0.0,3.3,3.85,0.0,0.0
LEU,-60,-30,3,98,0.03061224,57.5,86.31,0.0,0.0,15.62,23.67,0.0,0.0
LEU,-60,-30,31,98,0.31632653,-175.32,60.55,0.0,0.0,8.56,5.42,0.0,0.0
LEU,-60,-30,4,98,0.04081633,-148.79,162.26,0.0,0.0,6.08,23.85,0.0,0.0
LEU,-60,-30,8,98,0.08163265,-97.17,38.3,0.0,0.0,7.22,19.42,0.0,0.0
LEU,-60,-30,49,98,0.5,-64.54,176.7,0.0,0.0,5.24,6.07,0.0,0.0
LEU,-60,-30,2,98,0.02040816,-99.89,-71.45,0.0,0.0,19.84,2.93,0.0,0.0
LEU,-60,0,8,9,0.88888889,-63.32,177.23,0.0,0.0,4.58,2.81,0.0,0.0
LEU,-60,120,8,19,0.42105263,-173.63,67.53,0.0,0.0,6.08,4.88,0.0,0.0
LEU,-60,120,3,19,0.15789474,176.65,149.5,0.0,0.0,3.73,8.52,0.0,0.0
LEU,-60,120,6,19,0.31578947,-64.58,175.27,0.0,0.0,8.66,6.08,0.0,0.0
LEU,-60,150,2,18,0.11111111,-167.41,102.75,0.0,0.0,0.01,0.01,0.0,0.0
LEU,-60,150,15,18,0.83333333,-66.54,174.79,0.0,0.0,6.67,8.27,0.0,0.0
LEU,-30,-60,4,5,0.8,-165.58,43.18,0.0,0.0,9.29,13.84,0.0,0.0
LEU,60,30,4,4,1.0,-49.88,175.74,0.0,0.0,3.89,4.71,0.0,0.0
PHE,-150,-180,4,11,0.36363636,66.35,90.52,0.0,0.0,3.26,9.33,0.0,0.0
PHE,-150,-180,6,11,0.54545455,67.33,-82.68,0.0,0.0,5.01,3.55,0.0,0.0
PHE,-150,120,4,6,0.66666667,-179.35,83.7,0.0,0.0,11.08,3.33,0.0,0.0
PHE,-150,120,2,6,0.33333333,-64.17,-81.57,0.0,0.0,12.6,6.33,0.0,0.0
PHE,-150,150,4,17,0.23529412,67.97,96.76,0.0,0.0,2.28,15.8,0.0,0.0
PHE,-150,150,5,17,0.29411765,65.64,-79.78,0.0,0.0,8.61,8.81,0.0,0.0
PHE,-150,150,2,17,0.11764706,-172.18,73.95,0.0,0.0,22.1,3.14,0.0,0.0
PHE,-150,150,4,17,0.23529412,-57.57,-85.06,0.0,0.0,3.22,5.67,0.0,0.0
PHE,-120,-180,3,5,0.6,-59.65,-83.74,0.0,0.0,10.14,8.48,0.0,0.0
PHE,-120,-60,2,2,1.0,-69.58,-43.88,0.0,0.0,0.0,0.0,0.0,0.0
PHE,-120,-30,5,7,0.71428571,-60.66,-75.25,0.0,0.0,4.84,9.81,0.0,0.0
PHE,-120,0,4,5,0.8,-62.55,-74.92,0.0,0.0,3.43,3.11,0.0,0.0
PHE,-120,30,3,4,0.75,-62.54,-79.37,0.0,0.0,2.51,8.28,0.0,0.0
PHE,-120,60,2,2,1.0,-51.46,-81.83,0.0,0.0,1.94,7.67,0.0,0.0
PHE,-120,90,3,4,0.75,-54.05,-82.01,0.0,0.0,6.58,7.15,0.0,0.0
PHE,-120,120,5,20,0.25,-179.14,61.33,0.0,0.0,6.21,11.29,0.0,0.0
