AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,-90,150,2,124,0.01612903,-55.02,-177.06,64.34,-179.37,6.81,6.57,2.92,12.63
ARG,-90,150,12,124,0.09677419,-65.29,-178.5,-178.02,89.16,7.94,6.55,9.77,8.34
ARG,-90,150,19,124,0.15322581,-66.63,-177.07,-175.35,178.86,8.01,5.59,8.22,9.17
ARG,-90,150,8,124,0.06451613,-63.8,-174.58,-175.77,-81.72,5.92,13.73,7.53,11.53
ARG,-90,150,3,124,0.02419355,-72.47,176.73,-66.47,101.16,4.09,3.21,2.91,7.1
ARG,-90,150,17,124,0.13709677,-68.01,173.78,-64.38,-177.77,8.42,7.29,6.48,10.14
ARG,-90,150,3,124,0.02419355,-72.49,-174.52,-72.39,-82.03,2.38,8.07,9.54,13.46
ARG,-90,150,2,124,0.01612903,-54.72,-68.26,149.0,72.55,6.92,5.59,11.97,14.54
ARG,-90,150,8,124,0.06451613,-60.88,-70.76,176.29,-176.46,5.92,13.15,5.79,11.62
ARG,-90,150,3,124,0.02419355,-53.73,-68.93,-59.65,165.32,8.83,15.14,11.1,11.22
ARG,-60,-90,2,4,0.5,58.31,-160.26,-66.69,165.88,11.62,1.52,5.41,6.13
ARG,-60,-60,4,414,0.00966184,-176.45,77.08,65.89,77.9,6.52,7.71,10.34,5.57
ARG,-60,-60,6,414,0.01449275,176.29,72.9,56.1,-177.7,8.03,17.58,5.49,7.28
ARG,-60,-60,4,414,0.00966184,-178.92,71.25,175.14,88.68,10.76,22.9,6.28,12.43
ARG,-60,-60,9,414,0.02173913,178.2,75.7,-174.56,-179.15,4.92,9.39,18.54,8.74
ARG,-60,-60,7,414,0.01690821,-175.13,61.7,-177.1,-73.96,7.02,7.59,24.35,8.48
ARG,-60,-60,4,414,0.00966184,-174.36,70.21,-94.67,169.3,6.53,4.54,19.48,5.03
ARG,-60,-60,2,414,0.00483092,179.23,78.72,-84.63,-93.63,6.33,1.61,12.27,10.71
ARG,-60,-60,32,414,0.07729469,-176.66,-178.15,64.84,78.04,9.88,14.89,9.78,8.15
ARG,-60,-60,27,414,0.06521739,-176.65,179.1,66.04,-158.35,8.34,12.95,8.21,18.31
ARG,-60,-60,17,414,0.0410628,-173.85,-179.98,68.16,-108.61,7.45,12.21,15.81,4.04
ARG,-60,-60,23,414,0.05555556,173.34,177.56,172.69,82.86,11.38,16.43,10.64,8.78
ARG,-60,-60,21,414,0.05072464,174.56,-177.6,178.22,-174.94,8.38,6.67,6.72,14.79
ARG,-60,-60,17,414,0.0410628,-175.58,-179.25,174.03,-83.15,6.12,11.28,13.99,7.96
ARG,-60,-60,18,414,0.04347826,-174.62,174.78,-57.8,112.31,14.81,7.2,13.12,3.28
ARG,-60,-60,15,414,0.03623188,-178.5,177.18,-62.61,168.55,8.79,12.74,11.6,16.45
ARG,-60,-60,20,414,0.04830918,178.88,177.31,-62.75,-82.44,8.45,9.94,12.73,10.05
ARG,-60,-60,2,414,0.00483092,-144.68,-20.04,111.87,-176.16,0.0,0.0,0.0,0.01
ARG,-60,-60,6,414,0.01449275,-139.59,-73.35,171.75,-166.6,18.93,17.83,31.19,10.45
ARG,-60,-60,4,414,0.00966184,-162.09,-80.88,-82.44,173.51,14.56,8.49,9.69,22.98
ARG,-60,-60,2,414,0.00483092,-168.24,-102.7,-48.13,-80.99,0.05,7.23,5.01,4.95
ARG,-60,-60,8,414,0.01932367,-75.2,170.76,78.64,81.68,9.46,11.67,13.27,5.5
ARG,-60,-60,22,414,0.0531401,-67.19,-176.01,65.06,-163.25,9.46,9.64,9.48,11.73
ARG,-60,-60,2,414,0.00483092,-65.34,176.57,82.11,-98.89,13.89,1.77,8.77,19.51
ARG,-60,-60,16,414,0.03864734,-75.21,-170.11,-168.11,91.48,6.85,13.12,11.91,7.38
ARG,-60,-60,31,414,0.07487923,-66.65,179.77,179.98,178.08,5.87,11.69,10.56,12.01
ARG,-60,-60,17,414,0.0410628,-74.27,-178.49,174.75,-82.38,6.54,9.55,13.88,9.81
ARG,-60,-60,7,414,0.01690821,-81.14,-166.69,-95.15,110.13,1.9,3.43,8.23,6.8
ARG,-60,-60,10,414,0.02415459,-83.69,-176.2,-88.89,177.04,13.18,12.83,12.98,28.06
ARG,-60,-60,24,414,0.05797101,-79.55,-167.49,-61.85,-86.11,13.35,5.82,10.7,8.66
ARG,-60,-60,3,414,0.00724638,-67.86,-76.28,-167.41,76.05,8.9,11.88,9.26,3.8
